"","year","race","number","income_median","income_med_moe","income_mean","income_mean_moe","income_bracket","income_distribution"
"1",2019,"All Races",128451000,68703,904,98088,1042,"Under $15,000",9.1
"2",2019,"All Races",128451000,68703,904,98088,1042,"$15,000 to $24,999",8
"3",2019,"All Races",128451000,68703,904,98088,1042,"$25,000 to $34,999",8.3
"4",2019,"All Races",128451000,68703,904,98088,1042,"$35,000 to $49,999",11.7
"5",2019,"All Races",128451000,68703,904,98088,1042,"$50,000 to $74,999",16.5
"6",2019,"All Races",128451000,68703,904,98088,1042,"$75,000 to $99,999",12.3
"7",2019,"All Races",128451000,68703,904,98088,1042,"$100,000 to $149,999",15.5
"8",2019,"All Races",128451000,68703,904,98088,1042,"$150,000 to $199,999",8.3
"9",2019,"All Races",128451000,68703,904,98088,1042,"$200,000 and over",10.3
"10",2018,"All Races",128579000,64324,704,91652,914,"Under $15,000",10.1
"11",2018,"All Races",128579000,64324,704,91652,914,"$15,000 to $24,999",8.8
"12",2018,"All Races",128579000,64324,704,91652,914,"$25,000 to $34,999",8.7
"13",2018,"All Races",128579000,64324,704,91652,914,"$35,000 to $49,999",12
"14",2018,"All Races",128579000,64324,704,91652,914,"$50,000 to $74,999",17
"15",2018,"All Races",128579000,64324,704,91652,914,"$75,000 to $99,999",12.5
"16",2018,"All Races",128579000,64324,704,91652,914,"$100,000 to $149,999",15
"17",2018,"All Races",128579000,64324,704,91652,914,"$150,000 to $199,999",7.2
"18",2018,"All Races",128579000,64324,704,91652,914,"$200,000 and over",8.8
"19",2017,"All Races",127586000,64007,575,89922,892,"Under $15,000",10.1
"20",2017,"All Races",127586000,64007,575,89922,892,"$15,000 to $24,999",9.1
"21",2017,"All Races",127586000,64007,575,89922,892,"$25,000 to $34,999",9.2
"22",2017,"All Races",127586000,64007,575,89922,892,"$35,000 to $49,999",11.9
"23",2017,"All Races",127586000,64007,575,89922,892,"$50,000 to $74,999",16.3
"24",2017,"All Races",127586000,64007,575,89922,892,"$75,000 to $99,999",12.6
"25",2017,"All Races",127586000,64007,575,89922,892,"$100,000 to $149,999",14.8
"26",2017,"All Races",127586000,64007,575,89922,892,"$150,000 to $199,999",7.5
"27",2017,"All Races",127586000,64007,575,89922,892,"$200,000 and over",8.5
"28",2016,"All Races",126224000,62898,764,88578,822,"Under $15,000",10.4
"29",2016,"All Races",126224000,62898,764,88578,822,"$15,000 to $24,999",9
"30",2016,"All Races",126224000,62898,764,88578,822,"$25,000 to $34,999",9.2
"31",2016,"All Races",126224000,62898,764,88578,822,"$35,000 to $49,999",12.3
"32",2016,"All Races",126224000,62898,764,88578,822,"$50,000 to $74,999",16.7
"33",2016,"All Races",126224000,62898,764,88578,822,"$75,000 to $99,999",12.2
"34",2016,"All Races",126224000,62898,764,88578,822,"$100,000 to $149,999",15
"35",2016,"All Races",126224000,62898,764,88578,822,"$150,000 to $199,999",7.2
"36",2016,"All Races",126224000,62898,764,88578,822,"$200,000 and over",8
"37",2015,"All Races",125819000,60987,570,85533,715,"Under $15,000",10.6
"38",2015,"All Races",125819000,60987,570,85533,715,"$15,000 to $24,999",10
"39",2015,"All Races",125819000,60987,570,85533,715,"$25,000 to $34,999",9.6
"40",2015,"All Races",125819000,60987,570,85533,715,"$35,000 to $49,999",12.1
"41",2015,"All Races",125819000,60987,570,85533,715,"$50,000 to $74,999",16.1
"42",2015,"All Races",125819000,60987,570,85533,715,"$75,000 to $99,999",12.4
"43",2015,"All Races",125819000,60987,570,85533,715,"$100,000 to $149,999",14.9
"44",2015,"All Races",125819000,60987,570,85533,715,"$150,000 to $199,999",7.1
"45",2015,"All Races",125819000,60987,570,85533,715,"$200,000 and over",7.2
"46",2014,"All Races",124587000,58001,697,81870,793,"Under $15,000",11.4
"47",2014,"All Races",124587000,58001,697,81870,793,"$15,000 to $24,999",10.5
"48",2014,"All Races",124587000,58001,697,81870,793,"$25,000 to $34,999",9.6
"49",2014,"All Races",124587000,58001,697,81870,793,"$35,000 to $49,999",12.6
"50",2014,"All Races",124587000,58001,697,81870,793,"$50,000 to $74,999",16.4
"51",2014,"All Races",124587000,58001,697,81870,793,"$75,000 to $99,999",12.1
"52",2014,"All Races",124587000,58001,697,81870,793,"$100,000 to $149,999",14
"53",2014,"All Races",124587000,58001,697,81870,793,"$150,000 to $199,999",6.6
"54",2014,"All Races",124587000,58001,697,81870,793,"$200,000 and over",6.8
"55",2013,"All Races",123931000,58904,1183,82660,1201,"Under $15,000",11.4
"56",2013,"All Races",123931000,58904,1183,82660,1201,"$15,000 to $24,999",10.3
"57",2013,"All Races",123931000,58904,1183,82660,1201,"$25,000 to $34,999",9.5
"58",2013,"All Races",123931000,58904,1183,82660,1201,"$35,000 to $49,999",12.5
"59",2013,"All Races",123931000,58904,1183,82660,1201,"$50,000 to $74,999",16.8
"60",2013,"All Races",123931000,58904,1183,82660,1201,"$75,000 to $99,999",12
"61",2013,"All Races",123931000,58904,1183,82660,1201,"$100,000 to $149,999",13.9
"62",2013,"All Races",123931000,58904,1183,82660,1201,"$150,000 to $199,999",6.7
"63",2013,"All Races",123931000,58904,1183,82660,1201,"$200,000 and over",6.9
"64",2012,"All Races",122459000,56912,384,79510,773,"Under $15,000",11.4
"65",2012,"All Races",122459000,56912,384,79510,773,"$15,000 to $24,999",10.6
"66",2012,"All Races",122459000,56912,384,79510,773,"$25,000 to $34,999",10.1
"67",2012,"All Races",122459000,56912,384,79510,773,"$35,000 to $49,999",12.5
"68",2012,"All Races",122459000,56912,384,79510,773,"$50,000 to $74,999",17.4
"69",2012,"All Races",122459000,56912,384,79510,773,"$75,000 to $99,999",12
"70",2012,"All Races",122459000,56912,384,79510,773,"$100,000 to $149,999",13.9
"71",2012,"All Races",122459000,56912,384,79510,773,"$150,000 to $199,999",6.3
"72",2012,"All Races",122459000,56912,384,79510,773,"$200,000 and over",5.9
"73",2011,"All Races",121084000,57021,470,79375,690,"Under $15,000",11.6
"74",2011,"All Races",121084000,57021,470,79375,690,"$15,000 to $24,999",10.2
"75",2011,"All Races",121084000,57021,470,79375,690,"$25,000 to $34,999",10.2
"76",2011,"All Races",121084000,57021,470,79375,690,"$35,000 to $49,999",13.1
"77",2011,"All Races",121084000,57021,470,79375,690,"$50,000 to $74,999",17.2
"78",2011,"All Races",121084000,57021,470,79375,690,"$75,000 to $99,999",11.9
"79",2011,"All Races",121084000,57021,470,79375,690,"$100,000 to $149,999",13.8
"80",2011,"All Races",121084000,57021,470,79375,690,"$150,000 to $199,999",6.2
"81",2011,"All Races",121084000,57021,470,79375,690,"$200,000 and over",5.8
"82",2010,"All Races",119927000,57904,628,79192,696,"Under $15,000",11.2
"83",2010,"All Races",119927000,57904,628,79192,696,"$15,000 to $24,999",10.7
"84",2010,"All Races",119927000,57904,628,79192,696,"$25,000 to $34,999",9.4
"85",2010,"All Races",119927000,57904,628,79192,696,"$35,000 to $49,999",13.3
"86",2010,"All Races",119927000,57904,628,79192,696,"$50,000 to $74,999",16.8
"87",2010,"All Races",119927000,57904,628,79192,696,"$75,000 to $99,999",12.4
"88",2010,"All Races",119927000,57904,628,79192,696,"$100,000 to $149,999",14.1
"89",2010,"All Races",119927000,57904,628,79192,696,"$150,000 to $199,999",6.3
"90",2010,"All Races",119927000,57904,628,79192,696,"$200,000 and over",5.9
"91",2009,"All Races",117538000,59458,419,81196,477,"Under $15,000",10.4
"92",2009,"All Races",117538000,59458,419,81196,477,"$15,000 to $24,999",10
"93",2009,"All Races",117538000,59458,419,81196,477,"$25,000 to $34,999",9.7
"94",2009,"All Races",117538000,59458,419,81196,477,"$35,000 to $49,999",13.2
"95",2009,"All Races",117538000,59458,419,81196,477,"$50,000 to $74,999",17.4
"96",2009,"All Races",117538000,59458,419,81196,477,"$75,000 to $99,999",12.4
"97",2009,"All Races",117538000,59458,419,81196,477,"$100,000 to $149,999",14.5
"98",2009,"All Races",117538000,59458,419,81196,477,"$150,000 to $199,999",6.3
"99",2009,"All Races",117538000,59458,419,81196,477,"$200,000 and over",6
"100",2008,"All Races",117181000,59877,268,81447,474,"Under $15,000",10.4
"101",2008,"All Races",117181000,59877,268,81447,474,"$15,000 to $24,999",10
"102",2008,"All Races",117181000,59877,268,81447,474,"$25,000 to $34,999",9.4
"103",2008,"All Races",117181000,59877,268,81447,474,"$35,000 to $49,999",13.4
"104",2008,"All Races",117181000,59877,268,81447,474,"$50,000 to $74,999",17
"105",2008,"All Races",117181000,59877,268,81447,474,"$75,000 to $99,999",12.5
"106",2008,"All Races",117181000,59877,268,81447,474,"$100,000 to $149,999",15
"107",2008,"All Races",117181000,59877,268,81447,474,"$150,000 to $199,999",6.3
"108",2008,"All Races",117181000,59877,268,81447,474,"$200,000 and over",6
"109",2007,"All Races",116783000,62090,285,83568,480,"Under $15,000",10
"110",2007,"All Races",116783000,62090,285,83568,480,"$15,000 to $24,999",10
"111",2007,"All Races",116783000,62090,285,83568,480,"$25,000 to $34,999",9
"112",2007,"All Races",116783000,62090,285,83568,480,"$35,000 to $49,999",12.8
"113",2007,"All Races",116783000,62090,285,83568,480,"$50,000 to $74,999",17.3
"114",2007,"All Races",116783000,62090,285,83568,480,"$75,000 to $99,999",12.6
"115",2007,"All Races",116783000,62090,285,83568,480,"$100,000 to $149,999",15.3
"116",2007,"All Races",116783000,62090,285,83568,480,"$150,000 to $199,999",6.7
"117",2007,"All Races",116783000,62090,285,83568,480,"$200,000 and over",6.4
"118",2006,"All Races",116011000,61268,433,84617,537,"Under $15,000",9.6
"119",2006,"All Races",116011000,61268,433,84617,537,"$15,000 to $24,999",9.5
"120",2006,"All Races",116011000,61268,433,84617,537,"$25,000 to $34,999",9.4
"121",2006,"All Races",116011000,61268,433,84617,537,"$35,000 to $49,999",13
"122",2006,"All Races",116011000,61268,433,84617,537,"$50,000 to $74,999",17.5
"123",2006,"All Races",116011000,61268,433,84617,537,"$75,000 to $99,999",12.7
"124",2006,"All Races",116011000,61268,433,84617,537,"$100,000 to $149,999",15
"125",2006,"All Races",116011000,61268,433,84617,537,"$150,000 to $199,999",6.7
"126",2006,"All Races",116011000,61268,433,84617,537,"$200,000 and over",6.5
"127",2005,"All Races",114384000,60794,335,83127,516,"Under $15,000",10.1
"128",2005,"All Races",114384000,60794,335,83127,516,"$15,000 to $24,999",9.8
"129",2005,"All Races",114384000,60794,335,83127,516,"$25,000 to $34,999",9.5
"130",2005,"All Races",114384000,60794,335,83127,516,"$35,000 to $49,999",12.7
"131",2005,"All Races",114384000,60794,335,83127,516,"$50,000 to $74,999",17.6
"132",2005,"All Races",114384000,60794,335,83127,516,"$75,000 to $99,999",12.9
"133",2005,"All Races",114384000,60794,335,83127,516,"$100,000 to $149,999",14.7
"134",2005,"All Races",114384000,60794,335,83127,516,"$150,000 to $199,999",6.5
"135",2005,"All Races",114384000,60794,335,83127,516,"$200,000 and over",6.2
"136",2004,"All Races",113343000,60150,437,82038,509,"Under $15,000",10.3
"137",2004,"All Races",113343000,60150,437,82038,509,"$15,000 to $24,999",9.7
"138",2004,"All Races",113343000,60150,437,82038,509,"$25,000 to $34,999",9.8
"139",2004,"All Races",113343000,60150,437,82038,509,"$35,000 to $49,999",12.8
"140",2004,"All Races",113343000,60150,437,82038,509,"$50,000 to $74,999",17.4
"141",2004,"All Races",113343000,60150,437,82038,509,"$75,000 to $99,999",12.6
"142",2004,"All Races",113343000,60150,437,82038,509,"$100,000 to $149,999",15
"143",2004,"All Races",113343000,60150,437,82038,509,"$150,000 to $199,999",6.3
"144",2004,"All Races",113343000,60150,437,82038,509,"$200,000 and over",6.1
"145",2003,"All Races",1.12e+08,60360,431,82305,495,"Under $15,000",10.2
"146",2003,"All Races",1.12e+08,60360,431,82305,495,"$15,000 to $24,999",9.7
"147",2003,"All Races",1.12e+08,60360,431,82305,495,"$25,000 to $34,999",9.7
"148",2003,"All Races",1.12e+08,60360,431,82305,495,"$35,000 to $49,999",12.4
"149",2003,"All Races",1.12e+08,60360,431,82305,495,"$50,000 to $74,999",17.4
"150",2003,"All Races",1.12e+08,60360,431,82305,495,"$75,000 to $99,999",12.7
"151",2003,"All Races",1.12e+08,60360,431,82305,495,"$100,000 to $149,999",15.3
"152",2003,"All Races",1.12e+08,60360,431,82305,495,"$150,000 to $199,999",6.3
"153",2003,"All Races",1.12e+08,60360,431,82305,495,"$200,000 and over",6.2
"154",2002,"All Races",111278000,60435,326,82442,509,"Under $15,000",9.9
"155",2002,"All Races",111278000,60435,326,82442,509,"$15,000 to $24,999",9.8
"156",2002,"All Races",111278000,60435,326,82442,509,"$25,000 to $34,999",9.2
"157",2002,"All Races",111278000,60435,326,82442,509,"$35,000 to $49,999",13.3
"158",2002,"All Races",111278000,60435,326,82442,509,"$50,000 to $74,999",17.4
"159",2002,"All Races",111278000,60435,326,82442,509,"$75,000 to $99,999",12.7
"160",2002,"All Races",111278000,60435,326,82442,509,"$100,000 to $149,999",15.6
"161",2002,"All Races",111278000,60435,326,82442,509,"$150,000 to $199,999",6.3
"162",2002,"All Races",111278000,60435,326,82442,509,"$200,000 and over",5.9
"163",2001,"All Races",109297000,61126,307,84257,552,"Under $15,000",9.7
"164",2001,"All Races",109297000,61126,307,84257,552,"$15,000 to $24,999",9.6
"165",2001,"All Races",109297000,61126,307,84257,552,"$25,000 to $34,999",9.1
"166",2001,"All Races",109297000,61126,307,84257,552,"$35,000 to $49,999",12.9
"167",2001,"All Races",109297000,61126,307,84257,552,"$50,000 to $74,999",17.7
"168",2001,"All Races",109297000,61126,307,84257,552,"$75,000 to $99,999",12.8
"169",2001,"All Races",109297000,61126,307,84257,552,"$100,000 to $149,999",15.6
"170",2001,"All Races",109297000,61126,307,84257,552,"$150,000 to $199,999",6.3
"171",2001,"All Races",109297000,61126,307,84257,552,"$200,000 and over",6.2
"172",2000,"All Races",108209000,62512,323,85059,551,"Under $15,000",9.3
"173",2000,"All Races",108209000,62512,323,85059,551,"$15,000 to $24,999",9.3
"174",2000,"All Races",108209000,62512,323,85059,551,"$25,000 to $34,999",8.9
"175",2000,"All Races",108209000,62512,323,85059,551,"$35,000 to $49,999",13.1
"176",2000,"All Races",108209000,62512,323,85059,551,"$50,000 to $74,999",17.7
"177",2000,"All Races",108209000,62512,323,85059,551,"$75,000 to $99,999",13.2
"178",2000,"All Races",108209000,62512,323,85059,551,"$100,000 to $149,999",15.4
"179",2000,"All Races",108209000,62512,323,85059,551,"$150,000 to $199,999",6.8
"180",2000,"All Races",108209000,62512,323,85059,551,"$200,000 and over",6.2
"181",1999,"All Races",106434000,62641,481,84254,719,"Under $15,000",9
"182",1999,"All Races",106434000,62641,481,84254,719,"$15,000 to $24,999",9.7
"183",1999,"All Races",106434000,62641,481,84254,719,"$25,000 to $34,999",9.1
"184",1999,"All Races",106434000,62641,481,84254,719,"$35,000 to $49,999",13
"185",1999,"All Races",106434000,62641,481,84254,719,"$50,000 to $74,999",17.5
"186",1999,"All Races",106434000,62641,481,84254,719,"$75,000 to $99,999",13.3
"187",1999,"All Races",106434000,62641,481,84254,719,"$100,000 to $149,999",15.6
"188",1999,"All Races",106434000,62641,481,84254,719,"$150,000 to $199,999",6.6
"189",1999,"All Races",106434000,62641,481,84254,719,"$200,000 and over",6.3
"190",1998,"All Races",103874000,61128,595,81517,724,"Under $15,000",9.8
"191",1998,"All Races",103874000,61128,595,81517,724,"$15,000 to $24,999",9.8
"192",1998,"All Races",103874000,61128,595,81517,724,"$25,000 to $34,999",9.2
"193",1998,"All Races",103874000,61128,595,81517,724,"$35,000 to $49,999",12.9
"194",1998,"All Races",103874000,61128,595,81517,724,"$50,000 to $74,999",17.5
"195",1998,"All Races",103874000,61128,595,81517,724,"$75,000 to $99,999",13.7
"196",1998,"All Races",103874000,61128,595,81517,724,"$100,000 to $149,999",15.3
"197",1998,"All Races",103874000,61128,595,81517,724,"$150,000 to $199,999",6.2
"198",1998,"All Races",103874000,61128,595,81517,724,"$200,000 and over",5.5
"199",1997,"All Races",102528000,58961,448,79175,729,"Under $15,000",10.3
"200",1997,"All Races",102528000,58961,448,79175,729,"$15,000 to $24,999",10.3
"201",1997,"All Races",102528000,58961,448,79175,729,"$25,000 to $34,999",9.4
"202",1997,"All Races",102528000,58961,448,79175,729,"$35,000 to $49,999",13.2
"203",1997,"All Races",102528000,58961,448,79175,729,"$50,000 to $74,999",18
"204",1997,"All Races",102528000,58961,448,79175,729,"$75,000 to $99,999",13.3
"205",1997,"All Races",102528000,58961,448,79175,729,"$100,000 to $149,999",14.7
"206",1997,"All Races",102528000,58961,448,79175,729,"$150,000 to $199,999",5.8
"207",1997,"All Races",102528000,58961,448,79175,729,"$200,000 and over",5.1
"208",1996,"All Races",101018000,57772,479,76705,707,"Under $15,000",10.6
"209",1996,"All Races",101018000,57772,479,76705,707,"$15,000 to $24,999",10.5
"210",1996,"All Races",101018000,57772,479,76705,707,"$25,000 to $34,999",9.6
"211",1996,"All Races",101018000,57772,479,76705,707,"$35,000 to $49,999",13.5
"212",1996,"All Races",101018000,57772,479,76705,707,"$50,000 to $74,999",17.9
"213",1996,"All Races",101018000,57772,479,76705,707,"$75,000 to $99,999",13.5
"214",1996,"All Races",101018000,57772,479,76705,707,"$100,000 to $149,999",14.3
"215",1996,"All Races",101018000,57772,479,76705,707,"$150,000 to $199,999",5.4
"216",1996,"All Races",101018000,57772,479,76705,707,"$200,000 and over",4.6
"217",1995,"All Races",99627000,56945,542,75096,676,"Under $15,000",10.5
"218",1995,"All Races",99627000,56945,542,75096,676,"$15,000 to $24,999",10.4
"219",1995,"All Races",99627000,56945,542,75096,676,"$25,000 to $34,999",10.2
"220",1995,"All Races",99627000,56945,542,75096,676,"$35,000 to $49,999",13.1
"221",1995,"All Races",99627000,56945,542,75096,676,"$50,000 to $74,999",18.8
"222",1995,"All Races",99627000,56945,542,75096,676,"$75,000 to $99,999",13.3
"223",1995,"All Races",99627000,56945,542,75096,676,"$100,000 to $149,999",14.2
"224",1995,"All Races",99627000,56945,542,75096,676,"$150,000 to $199,999",5.1
"225",1995,"All Races",99627000,56945,542,75096,676,"$200,000 and over",4.3
"226",1994,"All Races",98990000,55215,414,73816,653,"Under $15,000",11.3
"227",1994,"All Races",98990000,55215,414,73816,653,"$15,000 to $24,999",10.8
"228",1994,"All Races",98990000,55215,414,73816,653,"$25,000 to $34,999",10.1
"229",1994,"All Races",98990000,55215,414,73816,653,"$35,000 to $49,999",13.5
"230",1994,"All Races",98990000,55215,414,73816,653,"$50,000 to $74,999",18.4
"231",1994,"All Races",98990000,55215,414,73816,653,"$75,000 to $99,999",12.7
"232",1994,"All Races",98990000,55215,414,73816,653,"$100,000 to $149,999",13.9
"233",1994,"All Races",98990000,55215,414,73816,653,"$150,000 to $199,999",5.1
"234",1994,"All Races",98990000,55215,414,73816,653,"$200,000 and over",4.2
"235",1993,"All Races",97107000,54581,420,72379,644,"Under $15,000",11.8
"236",1993,"All Races",97107000,54581,420,72379,644,"$15,000 to $24,999",10.6
"237",1993,"All Races",97107000,54581,420,72379,644,"$25,000 to $34,999",10.1
"238",1993,"All Races",97107000,54581,420,72379,644,"$35,000 to $49,999",13.7
"239",1993,"All Races",97107000,54581,420,72379,644,"$50,000 to $74,999",18.4
"240",1993,"All Races",97107000,54581,420,72379,644,"$75,000 to $99,999",13.1
"241",1993,"All Races",97107000,54581,420,72379,644,"$100,000 to $149,999",13.5
"242",1993,"All Races",97107000,54581,420,72379,644,"$150,000 to $199,999",4.9
"243",1993,"All Races",97107000,54581,420,72379,644,"$200,000 and over",3.9
"244",1992,"All Races",96426000,54874,427,69568,480,"Under $15,000",11.8
"245",1992,"All Races",96426000,54874,427,69568,480,"$15,000 to $24,999",10.6
"246",1992,"All Races",96426000,54874,427,69568,480,"$25,000 to $34,999",10.1
"247",1992,"All Races",96426000,54874,427,69568,480,"$35,000 to $49,999",13.5
"248",1992,"All Races",96426000,54874,427,69568,480,"$50,000 to $74,999",18.8
"249",1992,"All Races",96426000,54874,427,69568,480,"$75,000 to $99,999",13.5
"250",1992,"All Races",96426000,54874,427,69568,480,"$100,000 to $149,999",13.5
"251",1992,"All Races",96426000,54874,427,69568,480,"$150,000 to $199,999",4.8
"252",1992,"All Races",96426000,54874,427,69568,480,"$200,000 and over",3.4
"253",1991,"All Races",95669000,55302,438,69613,471,"Under $15,000",11.6
"254",1991,"All Races",95669000,55302,438,69613,471,"$15,000 to $24,999",10.3
"255",1991,"All Races",95669000,55302,438,69613,471,"$25,000 to $34,999",9.8
"256",1991,"All Races",95669000,55302,438,69613,471,"$35,000 to $49,999",14
"257",1991,"All Races",95669000,55302,438,69613,471,"$50,000 to $74,999",19.1
"258",1991,"All Races",95669000,55302,438,69613,471,"$75,000 to $99,999",13.5
"259",1991,"All Races",95669000,55302,438,69613,471,"$100,000 to $149,999",13.7
"260",1991,"All Races",95669000,55302,438,69613,471,"$150,000 to $199,999",4.8
"261",1991,"All Races",95669000,55302,438,69613,471,"$200,000 and over",3.3
"262",1990,"All Races",94312000,56966,479,71158,494,"Under $15,000",11.1
"263",1990,"All Races",94312000,56966,479,71158,494,"$15,000 to $24,999",10.1
"264",1990,"All Races",94312000,56966,479,71158,494,"$25,000 to $34,999",9.5
"265",1990,"All Races",94312000,56966,479,71158,494,"$35,000 to $49,999",13.9
"266",1990,"All Races",94312000,56966,479,71158,494,"$50,000 to $74,999",19.5
"267",1990,"All Races",94312000,56966,479,71158,494,"$75,000 to $99,999",13.7
"268",1990,"All Races",94312000,56966,479,71158,494,"$100,000 to $149,999",13.8
"269",1990,"All Races",94312000,56966,479,71158,494,"$150,000 to $199,999",4.8
"270",1990,"All Races",94312000,56966,479,71158,494,"$200,000 and over",3.7
"271",1989,"All Races",93347000,57705,522,72904,522,"Under $15,000",10.8
"272",1989,"All Races",93347000,57705,522,72904,522,"$15,000 to $24,999",10
"273",1989,"All Races",93347000,57705,522,72904,522,"$25,000 to $34,999",9.6
"274",1989,"All Races",93347000,57705,522,72904,522,"$35,000 to $49,999",13.4
"275",1989,"All Races",93347000,57705,522,72904,522,"$50,000 to $74,999",19.2
"276",1989,"All Races",93347000,57705,522,72904,522,"$75,000 to $99,999",13.9
"277",1989,"All Races",93347000,57705,522,72904,522,"$100,000 to $149,999",14.3
"278",1989,"All Races",93347000,57705,522,72904,522,"$150,000 to $199,999",5
"279",1989,"All Races",93347000,57705,522,72904,522,"$200,000 and over",3.9
"280",1988,"All Races",92830000,56725,456,70877,521,"Under $15,000",11.4
"281",1988,"All Races",92830000,56725,456,70877,521,"$15,000 to $24,999",9.7
"282",1988,"All Races",92830000,56725,456,70877,521,"$25,000 to $34,999",9.9
"283",1988,"All Races",92830000,56725,456,70877,521,"$35,000 to $49,999",13.1
"284",1988,"All Races",92830000,56725,456,70877,521,"$50,000 to $74,999",19.4
"285",1988,"All Races",92830000,56725,456,70877,521,"$75,000 to $99,999",14
"286",1988,"All Races",92830000,56725,456,70877,521,"$100,000 to $149,999",14.3
"287",1988,"All Races",92830000,56725,456,70877,521,"$150,000 to $199,999",4.8
"288",1988,"All Races",92830000,56725,456,70877,521,"$200,000 and over",3.5
"289",1987,"All Races",91124000,56261,437,69968,472,"Under $15,000",11.6
"290",1987,"All Races",91124000,56261,437,69968,472,"$15,000 to $24,999",10
"291",1987,"All Races",91124000,56261,437,69968,472,"$25,000 to $34,999",9.9
"292",1987,"All Races",91124000,56261,437,69968,472,"$35,000 to $49,999",13.6
"293",1987,"All Races",91124000,56261,437,69968,472,"$50,000 to $74,999",18.9
"294",1987,"All Races",91124000,56261,437,69968,472,"$75,000 to $99,999",14.2
"295",1987,"All Races",91124000,56261,437,69968,472,"$100,000 to $149,999",13.9
"296",1987,"All Races",91124000,56261,437,69968,472,"$150,000 to $199,999",4.6
"297",1987,"All Races",91124000,56261,437,69968,472,"$200,000 and over",3.3
"298",1986,"All Races",89479000,55597,474,68688,459,"Under $15,000",12
"299",1986,"All Races",89479000,55597,474,68688,459,"$15,000 to $24,999",10
"300",1986,"All Races",89479000,55597,474,68688,459,"$25,000 to $34,999",9.9
"301",1986,"All Races",89479000,55597,474,68688,459,"$35,000 to $49,999",13.6
"302",1986,"All Races",89479000,55597,474,68688,459,"$50,000 to $74,999",19.4
"303",1986,"All Races",89479000,55597,474,68688,459,"$75,000 to $99,999",13.9
"304",1986,"All Races",89479000,55597,474,68688,459,"$100,000 to $149,999",13.6
"305",1986,"All Races",89479000,55597,474,68688,459,"$150,000 to $199,999",4.4
"306",1986,"All Races",89479000,55597,474,68688,459,"$200,000 and over",3.1
"307",1985,"All Races",88458000,53664,478,66043,430,"Under $15,000",12.1
"308",1985,"All Races",88458000,53664,478,66043,430,"$15,000 to $24,999",10.6
"309",1985,"All Races",88458000,53664,478,66043,430,"$25,000 to $34,999",10.1
"310",1985,"All Races",88458000,53664,478,66043,430,"$35,000 to $49,999",14.3
"311",1985,"All Races",88458000,53664,478,66043,430,"$50,000 to $74,999",19.8
"312",1985,"All Races",88458000,53664,478,66043,430,"$75,000 to $99,999",13.6
"313",1985,"All Races",88458000,53664,478,66043,430,"$100,000 to $149,999",13.1
"314",1985,"All Races",88458000,53664,478,66043,430,"$150,000 to $199,999",3.9
"315",1985,"All Races",88458000,53664,478,66043,430,"$200,000 and over",2.6
"316",1984,"All Races",86789000,52679,394,64546,390,"Under $15,000",12.2
"317",1984,"All Races",86789000,52679,394,64546,390,"$15,000 to $24,999",10.8
"318",1984,"All Races",86789000,52679,394,64546,390,"$25,000 to $34,999",10.1
"319",1984,"All Races",86789000,52679,394,64546,390,"$35,000 to $49,999",14.7
"320",1984,"All Races",86789000,52679,394,64546,390,"$50,000 to $74,999",19.7
"321",1984,"All Races",86789000,52679,394,64546,390,"$75,000 to $99,999",13.7
"322",1984,"All Races",86789000,52679,394,64546,390,"$100,000 to $149,999",12.6
"323",1984,"All Races",86789000,52679,394,64546,390,"$150,000 to $199,999",3.7
"324",1984,"All Races",86789000,52679,394,64546,390,"$200,000 and over",2.4
"325",1983,"All Races",85407000,51126,383,62181,383,"Under $15,000",12.7
"326",1983,"All Races",85407000,51126,383,62181,383,"$15,000 to $24,999",10.9
"327",1983,"All Races",85407000,51126,383,62181,383,"$25,000 to $34,999",10.6
"328",1983,"All Races",85407000,51126,383,62181,383,"$35,000 to $49,999",14.8
"329",1983,"All Races",85407000,51126,383,62181,383,"$50,000 to $74,999",20.1
"330",1983,"All Races",85407000,51126,383,62181,383,"$75,000 to $99,999",13.3
"331",1983,"All Races",85407000,51126,383,62181,383,"$100,000 to $149,999",11.9
"332",1983,"All Races",85407000,51126,383,62181,383,"$150,000 to $199,999",3.4
"333",1983,"All Races",85407000,51126,383,62181,383,"$200,000 and over",2.2
"334",1982,"All Races",83918000,51487,382,62050,378,"Under $15,000",12.7
"335",1982,"All Races",83918000,51487,382,62050,378,"$15,000 to $24,999",10.8
"336",1982,"All Races",83918000,51487,382,62050,378,"$25,000 to $34,999",10.9
"337",1982,"All Races",83918000,51487,382,62050,378,"$35,000 to $49,999",14.5
"338",1982,"All Races",83918000,51487,382,62050,378,"$50,000 to $74,999",20.8
"339",1982,"All Races",83918000,51487,382,62050,378,"$75,000 to $99,999",13.4
"340",1982,"All Races",83918000,51487,382,62050,378,"$100,000 to $149,999",11.6
"341",1982,"All Races",83918000,51487,382,62050,378,"$150,000 to $199,999",3.3
"342",1982,"All Races",83918000,51487,382,62050,378,"$200,000 and over",2.1
"343",1981,"All Races",83527000,51627,445,61677,370,"Under $15,000",12.5
"344",1981,"All Races",83527000,51627,445,61677,370,"$15,000 to $24,999",10.9
"345",1981,"All Races",83527000,51627,445,61677,370,"$25,000 to $34,999",11
"346",1981,"All Races",83527000,51627,445,61677,370,"$35,000 to $49,999",14.3
"347",1981,"All Races",83527000,51627,445,61677,370,"$50,000 to $74,999",20.6
