"","year","race","number","income_quintile","income_share"
"1544",1970,"White Alone",57575000,"Second",11.1
"1545",1970,"White Alone",57575000,"Third",17.5
"1546",1970,"White Alone",57575000,"Fourth",24.3
"1547",1970,"White Alone",57575000,"Highest",42.9
"1548",1970,"White Alone",57575000,"Top 5%",16.5
"1549",1969,"White Alone",56248000,"Lowest",4.3
"1550",1969,"White Alone",56248000,"Second",11.3
"1551",1969,"White Alone",56248000,"Third",17.6
"1552",1969,"White Alone",56248000,"Fourth",24.3
"1553",1969,"White Alone",56248000,"Highest",42.5
"1554",1969,"White Alone",56248000,"Top 5%",16.4
"1555",1968,"White Alone",55394000,"Lowest",4.4
"1556",1968,"White Alone",55394000,"Second",11.5
"1557",1968,"White Alone",55394000,"Third",17.7
"1558",1968,"White Alone",55394000,"Fourth",24.3
"1559",1968,"White Alone",55394000,"Highest",42.1
"1560",1968,"White Alone",55394000,"Top 5%",16.2
"1561",1967,"White Alone",54188000,"Lowest",4.1
"1562",1967,"White Alone",54188000,"Second",11.3
"1563",1967,"White Alone",54188000,"Third",17.4
"1564",1967,"White Alone",54188000,"Fourth",24.1
"1565",1967,"White Alone",54188000,"Highest",43.1
"1566",1967,"White Alone",54188000,"Top 5%",17
"1567",2019,"White, Not Hispanic",84868000,"Lowest",3.3
"1568",2019,"White, Not Hispanic",84868000,"Second",8.6
"1569",2019,"White, Not Hispanic",84868000,"Third",14.3
"1570",2019,"White, Not Hispanic",84868000,"Fourth",22.6
"1571",2019,"White, Not Hispanic",84868000,"Highest",51.2
"1572",2019,"White, Not Hispanic",84868000,"Top 5%",22.8
"1573",2018,"White, Not Hispanic",84727000,"Lowest",3.3
"1574",2018,"White, Not Hispanic",84727000,"Second",8.6
"1575",2018,"White, Not Hispanic",84727000,"Third",14.4
"1576",2018,"White, Not Hispanic",84727000,"Fourth",22.5
"1577",2018,"White, Not Hispanic",84727000,"Highest",51.1
"1578",2018,"White, Not Hispanic",84727000,"Top 5%",22.7
"1579",2017,"White, Not Hispanic",84681000,"Lowest",3.3
"1580",2017,"White, Not Hispanic",84681000,"Second",8.5
"1581",2017,"White, Not Hispanic",84681000,"Third",14.6
"1582",2017,"White, Not Hispanic",84681000,"Fourth",23.1
"1583",2017,"White, Not Hispanic",84681000,"Highest",50.4
"1584",2017,"White, Not Hispanic",84681000,"Top 5%",21.8
"1585",2016,"White, Not Hispanic",84387000,"Lowest",3.4
"1586",2016,"White, Not Hispanic",84387000,"Second",8.6
"1587",2016,"White, Not Hispanic",84387000,"Third",14.5
"1588",2016,"White, Not Hispanic",84387000,"Fourth",23
"1589",2016,"White, Not Hispanic",84387000,"Highest",50.4
"1590",2016,"White, Not Hispanic",84387000,"Top 5%",21.8
"1591",2015,"White, Not Hispanic",84445000,"Lowest",3.5
"1592",2015,"White, Not Hispanic",84445000,"Second",8.6
"1593",2015,"White, Not Hispanic",84445000,"Third",14.8
"1594",2015,"White, Not Hispanic",84445000,"Fourth",23.4
"1595",2015,"White, Not Hispanic",84445000,"Highest",49.7
"1596",2015,"White, Not Hispanic",84445000,"Top 5%",21.3
"1597",2014,"White, Not Hispanic",84228000,"Lowest",3.3
"1598",2014,"White, Not Hispanic",84228000,"Second",8.5
"1599",2014,"White, Not Hispanic",84228000,"Third",14.6
"1600",2014,"White, Not Hispanic",84228000,"Fourth",23.2
"1601",2014,"White, Not Hispanic",84228000,"Highest",50.3
"1602",2014,"White, Not Hispanic",84228000,"Top 5%",21.5
"1603",2013,"White, Not Hispanic",84432000,"Lowest",3.4
"1604",2013,"White, Not Hispanic",84432000,"Second",8.7
"1605",2013,"White, Not Hispanic",84432000,"Third",14.8
"1606",2013,"White, Not Hispanic",84432000,"Fourth",23.1
"1607",2013,"White, Not Hispanic",84432000,"Highest",50.1
"1608",2013,"White, Not Hispanic",84432000,"Top 5%",21.3
"1609",2012,"White, Not Hispanic",83792000,"Lowest",3.5
"1610",2012,"White, Not Hispanic",83792000,"Second",8.7
"1611",2012,"White, Not Hispanic",83792000,"Third",14.7
"1612",2012,"White, Not Hispanic",83792000,"Fourth",23
"1613",2012,"White, Not Hispanic",83792000,"Highest",50.2
"1614",2012,"White, Not Hispanic",83792000,"Top 5%",22
"1615",2011,"White, Not Hispanic",83573000,"Lowest",3.5
"1616",2011,"White, Not Hispanic",83573000,"Second",8.7
"1617",2011,"White, Not Hispanic",83573000,"Third",14.6
"1618",2011,"White, Not Hispanic",83573000,"Fourth",22.9
"1619",2011,"White, Not Hispanic",83573000,"Highest",50.2
"1620",2011,"White, Not Hispanic",83573000,"Top 5%",22
"1621",2010,"White, Not Hispanic",83314000,"Lowest",3.6
"1622",2010,"White, Not Hispanic",83314000,"Second",8.8
"1623",2010,"White, Not Hispanic",83314000,"Third",14.9
"1624",2010,"White, Not Hispanic",83314000,"Fourth",23.4
"1625",2010,"White, Not Hispanic",83314000,"Highest",49.4
"1626",2010,"White, Not Hispanic",83314000,"Top 5%",21
"1627",2009,"White, Not Hispanic",83158000,"Lowest",3.7
"1628",2009,"White, Not Hispanic",83158000,"Second",9
"1629",2009,"White, Not Hispanic",83158000,"Third",14.9
"1630",2009,"White, Not Hispanic",83158000,"Fourth",23.2
"1631",2009,"White, Not Hispanic",83158000,"Highest",49.2
"1632",2009,"White, Not Hispanic",83158000,"Top 5%",21.2
"1633",2008,"White, Not Hispanic",82884000,"Lowest",3.7
"1634",2008,"White, Not Hispanic",82884000,"Second",8.9
"1635",2008,"White, Not Hispanic",82884000,"Third",15
"1636",2008,"White, Not Hispanic",82884000,"Fourth",23.2
"1637",2008,"White, Not Hispanic",82884000,"Highest",49.2
"1638",2008,"White, Not Hispanic",82884000,"Top 5%",21.2
"1639",2007,"White, Not Hispanic",82765000,"Lowest",3.7
"1640",2007,"White, Not Hispanic",82765000,"Second",9
"1641",2007,"White, Not Hispanic",82765000,"Third",15
"1642",2007,"White, Not Hispanic",82765000,"Fourth",23.4
"1643",2007,"White, Not Hispanic",82765000,"Highest",48.9
"1644",2007,"White, Not Hispanic",82765000,"Top 5%",20.9
"1645",2006,"White, Not Hispanic",82675000,"Lowest",3.7
"1646",2006,"White, Not Hispanic",82675000,"Second",8.9
"1647",2006,"White, Not Hispanic",82675000,"Third",14.8
"1648",2006,"White, Not Hispanic",82675000,"Fourth",23
"1649",2006,"White, Not Hispanic",82675000,"Highest",49.7
"1650",2006,"White, Not Hispanic",82675000,"Top 5%",22
"1651",2005,"White, Not Hispanic",82003000,"Lowest",3.6
"1652",2005,"White, Not Hispanic",82003000,"Second",8.9
"1653",2005,"White, Not Hispanic",82003000,"Third",14.8
"1654",2005,"White, Not Hispanic",82003000,"Fourth",22.9
"1655",2005,"White, Not Hispanic",82003000,"Highest",49.8
"1656",2005,"White, Not Hispanic",82003000,"Top 5%",22.1
"1657",2004,"White, Not Hispanic",81628000,"Lowest",3.6
"1658",2004,"White, Not Hispanic",81628000,"Second",8.9
"1659",2004,"White, Not Hispanic",81628000,"Third",15
"1660",2004,"White, Not Hispanic",81628000,"Fourth",23.1
"1661",2004,"White, Not Hispanic",81628000,"Highest",49.4
"1662",2004,"White, Not Hispanic",81628000,"Top 5%",21.6
"1663",2003,"White, Not Hispanic",81148000,"Lowest",3.6
"1664",2003,"White, Not Hispanic",81148000,"Second",9
"1665",2003,"White, Not Hispanic",81148000,"Third",15
"1666",2003,"White, Not Hispanic",81148000,"Fourth",23.3
"1667",2003,"White, Not Hispanic",81148000,"Highest",49.2
"1668",2003,"White, Not Hispanic",81148000,"Top 5%",21.3
"1669",2002,"White, Not Hispanic",81166000,"Lowest",3.7
"1670",2002,"White, Not Hispanic",81166000,"Second",9.1
"1671",2002,"White, Not Hispanic",81166000,"Third",15.1
"1672",2002,"White, Not Hispanic",81166000,"Fourth",23.3
"1673",2002,"White, Not Hispanic",81166000,"Highest",48.9
"1674",2002,"White, Not Hispanic",81166000,"Top 5%",21.3
"1675",2001,"White, Not Hispanic",80818000,"Lowest",3.7
"1676",2001,"White, Not Hispanic",80818000,"Second",8.9
"1677",2001,"White, Not Hispanic",80818000,"Third",14.8
"1678",2001,"White, Not Hispanic",80818000,"Fourth",22.9
"1679",2001,"White, Not Hispanic",80818000,"Highest",49.6
"1680",2001,"White, Not Hispanic",80818000,"Top 5%",22.2
"1681",2000,"White, Not Hispanic",80527000,"Lowest",3.7
"1682",2000,"White, Not Hispanic",80527000,"Second",9.1
"1683",2000,"White, Not Hispanic",80527000,"Third",15
"1684",2000,"White, Not Hispanic",80527000,"Fourth",22.9
"1685",2000,"White, Not Hispanic",80527000,"Highest",49.3
"1686",2000,"White, Not Hispanic",80527000,"Top 5%",21.9
"1687",1999,"White, Not Hispanic",79819000,"Lowest",3.9
"1688",1999,"White, Not Hispanic",79819000,"Second",9.2
"1689",1999,"White, Not Hispanic",79819000,"Third",15.1
"1690",1999,"White, Not Hispanic",79819000,"Fourth",23
"1691",1999,"White, Not Hispanic",79819000,"Highest",48.8
"1692",1999,"White, Not Hispanic",79819000,"Top 5%",21.4
"1693",1998,"White, Not Hispanic",78577000,"Lowest",3.9
"1694",1998,"White, Not Hispanic",78577000,"Second",9.3
"1695",1998,"White, Not Hispanic",78577000,"Third",15.3
"1696",1998,"White, Not Hispanic",78577000,"Fourth",23.1
"1697",1998,"White, Not Hispanic",78577000,"Highest",48.5
"1698",1998,"White, Not Hispanic",78577000,"Top 5%",21.3
"1699",1997,"White, Not Hispanic",77936000,"Lowest",3.8
"1700",1997,"White, Not Hispanic",77936000,"Second",9.2
"1701",1997,"White, Not Hispanic",77936000,"Third",15.2
"1702",1997,"White, Not Hispanic",77936000,"Fourth",23
"1703",1997,"White, Not Hispanic",77936000,"Highest",48.8
"1704",1997,"White, Not Hispanic",77936000,"Top 5%",21.5
"1705",1996,"White, Not Hispanic",77240000,"Lowest",3.9
"1706",1996,"White, Not Hispanic",77240000,"Second",9.4
"1707",1996,"White, Not Hispanic",77240000,"Third",15.4
"1708",1996,"White, Not Hispanic",77240000,"Fourth",23.2
"1709",1996,"White, Not Hispanic",77240000,"Highest",48.1
"1710",1996,"White, Not Hispanic",77240000,"Top 5%",20.9
"1711",1995,"White, Not Hispanic",76932000,"Lowest",4.1
"1712",1995,"White, Not Hispanic",76932000,"Second",9.5
"1713",1995,"White, Not Hispanic",76932000,"Third",15.4
"1714",1995,"White, Not Hispanic",76932000,"Fourth",23.2
"1715",1995,"White, Not Hispanic",76932000,"Highest",47.8
"1716",1995,"White, Not Hispanic",76932000,"Top 5%",20.5
"1717",1994,"White, Not Hispanic",77004000,"Lowest",3.9
"1718",1994,"White, Not Hispanic",77004000,"Second",9.3
"1719",1994,"White, Not Hispanic",77004000,"Third",15.2
"1720",1994,"White, Not Hispanic",77004000,"Fourth",23.2
"1721",1994,"White, Not Hispanic",77004000,"Highest",48.4
"1722",1994,"White, Not Hispanic",77004000,"Top 5%",21
"1723",1993,"White, Not Hispanic",75697000,"Lowest",3.9
"1724",1993,"White, Not Hispanic",75697000,"Second",9.4
"1725",1993,"White, Not Hispanic",75697000,"Third",15.4
"1726",1993,"White, Not Hispanic",75697000,"Fourth",23.3
"1727",1993,"White, Not Hispanic",75697000,"Highest",48
"1728",1993,"White, Not Hispanic",75697000,"Top 5%",20.6
"1729",1992,"White, Not Hispanic",75107000,"Lowest",4.1
"1730",1992,"White, Not Hispanic",75107000,"Second",9.8
"1731",1992,"White, Not Hispanic",75107000,"Third",16
"1732",1992,"White, Not Hispanic",75107000,"Fourth",24.1
"1733",1992,"White, Not Hispanic",75107000,"Highest",46
"1734",1992,"White, Not Hispanic",75107000,"Top 5%",18.2
"1735",1991,"White, Not Hispanic",75625000,"Lowest",4.2
"1736",1991,"White, Not Hispanic",75625000,"Second",10
"1737",1991,"White, Not Hispanic",75625000,"Third",16.1
"1738",1991,"White, Not Hispanic",75625000,"Fourth",24.1
"1739",1991,"White, Not Hispanic",75625000,"Highest",45.6
"1740",1991,"White, Not Hispanic",75625000,"Top 5%",17.8
"1741",1990,"White, Not Hispanic",75035000,"Lowest",4.2
"1742",1990,"White, Not Hispanic",75035000,"Second",10
"1743",1990,"White, Not Hispanic",75035000,"Third",16.1
"1744",1990,"White, Not Hispanic",75035000,"Fourth",23.9
"1745",1990,"White, Not Hispanic",75035000,"Highest",45.8
"1746",1990,"White, Not Hispanic",75035000,"Top 5%",18.3
"1747",1989,"White, Not Hispanic",74495000,"Lowest",4.2
"1748",1989,"White, Not Hispanic",74495000,"Second",9.9
"1749",1989,"White, Not Hispanic",74495000,"Third",16
"1750",1989,"White, Not Hispanic",74495000,"Fourth",23.8
"1751",1989,"White, Not Hispanic",74495000,"Highest",46.1
"1752",1989,"White, Not Hispanic",74495000,"Top 5%",18.7
"1753",1988,"White, Not Hispanic",74067000,"Lowest",4.2
"1754",1988,"White, Not Hispanic",74067000,"Second",10.1
"1755",1988,"White, Not Hispanic",74067000,"Third",16.3
"1756",1988,"White, Not Hispanic",74067000,"Fourth",24.1
"1757",1988,"White, Not Hispanic",74067000,"Highest",45.4
"1758",1988,"White, Not Hispanic",74067000,"Top 5%",17.9
"1759",1987,"White, Not Hispanic",73120000,"Lowest",4.2
"1760",1987,"White, Not Hispanic",73120000,"Second",10.1
"1761",1987,"White, Not Hispanic",73120000,"Third",16.4
"1762",1987,"White, Not Hispanic",73120000,"Fourth",24.1
"1763",1987,"White, Not Hispanic",73120000,"Highest",45.2
"1764",1987,"White, Not Hispanic",73120000,"Top 5%",17.8
"1765",1986,"White, Not Hispanic",72067000,"Lowest",4.1
"1766",1986,"White, Not Hispanic",72067000,"Second",10.1
"1767",1986,"White, Not Hispanic",72067000,"Third",16.4
"1768",1986,"White, Not Hispanic",72067000,"Fourth",24.2
"1769",1986,"White, Not Hispanic",72067000,"Highest",45.2
"1770",1986,"White, Not Hispanic",72067000,"Top 5%",17.8
"1771",1985,"White, Not Hispanic",71540000,"Lowest",4.2
"1772",1985,"White, Not Hispanic",71540000,"Second",10.2
"1773",1985,"White, Not Hispanic",71540000,"Third",16.4
"1774",1985,"White, Not Hispanic",71540000,"Fourth",24.3
"1775",1985,"White, Not Hispanic",71540000,"Highest",44.9
"1776",1985,"White, Not Hispanic",71540000,"Top 5%",17.3
"1777",1984,"White, Not Hispanic",70586000,"Lowest",4.3
"1778",1984,"White, Not Hispanic",70586000,"Second",10.3
"1779",1984,"White, Not Hispanic",70586000,"Third",16.6
"1780",1984,"White, Not Hispanic",70586000,"Fourth",24.4
"1781",1984,"White, Not Hispanic",70586000,"Highest",44.4
"1782",1984,"White, Not Hispanic",70586000,"Top 5%",16.7
"1783",1983,"White, Not Hispanic",69648000,"Lowest",4.3
"1784",1983,"White, Not Hispanic",69648000,"Second",10.3
"1785",1983,"White, Not Hispanic",69648000,"Third",16.6
"1786",1983,"White, Not Hispanic",69648000,"Fourth",24.4
"1787",1983,"White, Not Hispanic",69648000,"Highest",44.3
"1788",1983,"White, Not Hispanic",69648000,"Top 5%",16.8
"1789",1982,"White, Not Hispanic",69214000,"Lowest",4.3
"1790",1982,"White, Not Hispanic",69214000,"Second",10.4
"1791",1982,"White, Not Hispanic",69214000,"Third",16.7
"1792",1982,"White, Not Hispanic",69214000,"Fourth",24.4
"1793",1982,"White, Not Hispanic",69214000,"Highest",44.3
"1794",1982,"White, Not Hispanic",69214000,"Top 5%",16.7
"1795",1981,"White, Not Hispanic",68996000,"Lowest",4.4
"1796",1981,"White, Not Hispanic",68996000,"Second",10.4
"1797",1981,"White, Not Hispanic",68996000,"Third",16.9
"1798",1981,"White, Not Hispanic",68996000,"Fourth",24.6
"1799",1981,"White, Not Hispanic",68996000,"Highest",43.7
"1800",1981,"White, Not Hispanic",68996000,"Top 5%",16.2
"1801",1980,"White, Not Hispanic",68106000,"Lowest",4.4
"1802",1980,"White, Not Hispanic",68106000,"Second",10.6
"1803",1980,"White, Not Hispanic",68106000,"Third",17
"1804",1980,"White, Not Hispanic",68106000,"Fourth",24.6
"1805",1980,"White, Not Hispanic",68106000,"Highest",43.4
"1806",1980,"White, Not Hispanic",68106000,"Top 5%",16.2
"1807",1979,"White, Not Hispanic",67203000,"Lowest",4.4
"1808",1979,"White, Not Hispanic",67203000,"Second",10.6
"1809",1979,"White, Not Hispanic",67203000,"Third",17
"1810",1979,"White, Not Hispanic",67203000,"Fourth",24.5
"1811",1979,"White, Not Hispanic",67203000,"Highest",43.6
"1812",1979,"White, Not Hispanic",67203000,"Top 5%",16.6
"1813",1978,"White, Not Hispanic",64836000,"Lowest",4.4
"1814",1978,"White, Not Hispanic",64836000,"Second",10.5
"1815",1978,"White, Not Hispanic",64836000,"Third",17
"1816",1978,"White, Not Hispanic",64836000,"Fourth",24.5
"1817",1978,"White, Not Hispanic",64836000,"Highest",43.5
"1818",1978,"White, Not Hispanic",64836000,"Top 5%",16.6
"1819",1977,"White, Not Hispanic",63721000,"Lowest",4.4
"1820",1977,"White, Not Hispanic",63721000,"Second",10.6
"1821",1977,"White, Not Hispanic",63721000,"Third",17.1
"1822",1977,"White, Not Hispanic",63721000,"Fourth",24.6
"1823",1977,"White, Not Hispanic",63721000,"Highest",43.4
"1824",1977,"White, Not Hispanic",63721000,"Top 5%",16.7
"1825",1976,"White, Not Hispanic",62365000,"Lowest",4.5
"1826",1976,"White, Not Hispanic",62365000,"Second",10.7
"1827",1976,"White, Not Hispanic",62365000,"Third",17.2
"1828",1976,"White, Not Hispanic",62365000,"Fourth",24.5
"1829",1976,"White, Not Hispanic",62365000,"Highest",43.1
"1830",1976,"White, Not Hispanic",62365000,"Top 5%",16.5
"1831",1975,"White, Not Hispanic",61533000,"Lowest",4.5
"1832",1975,"White, Not Hispanic",61533000,"Second",10.7
"1833",1975,"White, Not Hispanic",61533000,"Third",17.2
"1834",1975,"White, Not Hispanic",61533000,"Fourth",24.5
"1835",1975,"White, Not Hispanic",61533000,"Highest",43
"1836",1975,"White, Not Hispanic",61533000,"Top 5%",16.4
"1837",1974,"White, Not Hispanic",60164000,"Lowest",4.5
"1838",1974,"White, Not Hispanic",60164000,"Second",10.9
"1839",1974,"White, Not Hispanic",60164000,"Third",17.2
"1840",1974,"White, Not Hispanic",60164000,"Fourth",24.4
"1841",1974,"White, Not Hispanic",60164000,"Highest",43
"1842",1974,"White, Not Hispanic",60164000,"Top 5%",16.3
"1843",1973,"White, Not Hispanic",59276000,"Lowest",4.3
"1844",1973,"White, Not Hispanic",59276000,"Second",10.8
"1845",1973,"White, Not Hispanic",59276000,"Third",17.2
"1846",1973,"White, Not Hispanic",59276000,"Fourth",24.4
"1847",1973,"White, Not Hispanic",59276000,"Highest",43.3
"1848",1973,"White, Not Hispanic",59276000,"Top 5%",16.7
"1849",1972,"White, Not Hispanic",58004000,"Lowest",4.2
"1850",1972,"White, Not Hispanic",58004000,"Second",10.8
"1851",1972,"White, Not Hispanic",58004000,"Third",17.3
"1852",1972,"White, Not Hispanic",58004000,"Fourth",24.3
"1853",1972,"White, Not Hispanic",58004000,"Highest",43.4
"1854",1972,"White, Not Hispanic",58004000,"Top 5%",16.8
