"","year","race","dollar_type","income_quintile","income_dollars"
"895",2012,"Asian Alone","2019 Dollars","Lowest",15224
"896",2012,"Asian Alone","2019 Dollars","Second",45566
"897",2012,"Asian Alone","2019 Dollars","Middle",76302
"898",2012,"Asian Alone","2019 Dollars","Fourth",120482
"899",2012,"Asian Alone","2019 Dollars","Highest",253927
"900",2012,"Asian Alone","2019 Dollars","Top 5%",425762
"901",2011,"Asian Alone","2019 Dollars","Lowest",14531
"902",2011,"Asian Alone","2019 Dollars","Second",42667
"903",2011,"Asian Alone","2019 Dollars","Middle",73991
"904",2011,"Asian Alone","2019 Dollars","Fourth",114810
"905",2011,"Asian Alone","2019 Dollars","Highest",242621
"906",2011,"Asian Alone","2019 Dollars","Top 5%",417880
"907",2010,"Asian Alone","2019 Dollars","Lowest",14782
"908",2010,"Asian Alone","2019 Dollars","Second",43923
"909",2010,"Asian Alone","2019 Dollars","Middle",75120
"910",2010,"Asian Alone","2019 Dollars","Fourth",120501
"911",2010,"Asian Alone","2019 Dollars","Highest",237525
"912",2010,"Asian Alone","2019 Dollars","Top 5%",373533
"913",2009,"Asian Alone","2019 Dollars","Lowest",14534
"914",2009,"Asian Alone","2019 Dollars","Second",44343
"915",2009,"Asian Alone","2019 Dollars","Middle",77626
"916",2009,"Asian Alone","2019 Dollars","Fourth",124049
"917",2009,"Asian Alone","2019 Dollars","Highest",277621
"918",2009,"Asian Alone","2019 Dollars","Top 5%",506044
"919",2008,"Asian Alone","2019 Dollars","Lowest",14846
"920",2008,"Asian Alone","2019 Dollars","Second",43985
"921",2008,"Asian Alone","2019 Dollars","Middle",77785
"922",2008,"Asian Alone","2019 Dollars","Fourth",123708
"923",2008,"Asian Alone","2019 Dollars","Highest",253436
"924",2008,"Asian Alone","2019 Dollars","Top 5%",430863
"925",2007,"Asian Alone","2019 Dollars","Lowest",16368
"926",2007,"Asian Alone","2019 Dollars","Second",48081
"927",2007,"Asian Alone","2019 Dollars","Middle",81793
"928",2007,"Asian Alone","2019 Dollars","Fourth",125250
"929",2007,"Asian Alone","2019 Dollars","Highest",251117
"930",2007,"Asian Alone","2019 Dollars","Top 5%",418561
"931",2006,"Asian Alone","2019 Dollars","Lowest",17433
"932",2006,"Asian Alone","2019 Dollars","Second",49063
"933",2006,"Asian Alone","2019 Dollars","Middle",81652
"934",2006,"Asian Alone","2019 Dollars","Fourth",128039
"935",2006,"Asian Alone","2019 Dollars","Highest",280097
"936",2006,"Asian Alone","2019 Dollars","Top 5%",522821
"937",2005,"Asian Alone","2019 Dollars","Lowest",15452
"938",2005,"Asian Alone","2019 Dollars","Second",48227
"939",2005,"Asian Alone","2019 Dollars","Middle",80312
"940",2005,"Asian Alone","2019 Dollars","Fourth",124343
"941",2005,"Asian Alone","2019 Dollars","Highest",256569
"942",2005,"Asian Alone","2019 Dollars","Top 5%",425294
"943",2004,"Asian Alone","2019 Dollars","Lowest",16447
"944",2004,"Asian Alone","2019 Dollars","Second",47421
"945",2004,"Asian Alone","2019 Dollars","Middle",78228
"946",2004,"Asian Alone","2019 Dollars","Fourth",120499
"947",2004,"Asian Alone","2019 Dollars","Highest",253860
"948",2004,"Asian Alone","2019 Dollars","Top 5%",444549
"949",2003,"Asian Alone","2019 Dollars","Lowest",13009
"950",2003,"Asian Alone","2019 Dollars","Second",43877
"951",2003,"Asian Alone","2019 Dollars","Middle",76781
"952",2003,"Asian Alone","2019 Dollars","Fourth",118767
"953",2003,"Asian Alone","2019 Dollars","Highest",231163
"954",2003,"Asian Alone","2019 Dollars","Top 5%",366207
"955",2002,"Asian Alone","2019 Dollars","Lowest",16216
"956",2002,"Asian Alone","2019 Dollars","Second",45234
"957",2002,"Asian Alone","2019 Dollars","Middle",75220
"958",2002,"Asian Alone","2019 Dollars","Fourth",117666
"959",2002,"Asian Alone","2019 Dollars","Highest",240702
"960",2002,"Asian Alone","2019 Dollars","Top 5%",408850
"961",2019,"Asian Alone","2019 Dollars","Lowest",20636
"962",2019,"Asian Alone","2019 Dollars","Second",58300
"963",2019,"Asian Alone","2019 Dollars","Middle",98709
"964",2019,"Asian Alone","2019 Dollars","Fourth",153721
"965",2019,"Asian Alone","2019 Dollars","Highest",334188
"966",2019,"Asian Alone","2019 Dollars","Top 5%",577189
"967",2018,"Asian Alone","2019 Dollars","Lowest",16730
"968",2018,"Asian Alone","2019 Dollars","Second",51327
"969",2018,"Asian Alone","2019 Dollars","Middle",89234
"970",2018,"Asian Alone","2019 Dollars","Fourth",140838
"971",2018,"Asian Alone","2019 Dollars","Highest",311806
"972",2018,"Asian Alone","2019 Dollars","Top 5%",536014
"973",2017,"Asian Alone","2019 Dollars","Lowest",16059
"974",2017,"Asian Alone","2019 Dollars","Second",50376
"975",2017,"Asian Alone","2019 Dollars","Middle",85799
"976",2017,"Asian Alone","2019 Dollars","Fourth",139063
"977",2017,"Asian Alone","2019 Dollars","Highest",303724
"978",2017,"Asian Alone","2019 Dollars","Top 5%",523738
"979",2016,"Asian Alone","2019 Dollars","Lowest",17006
"980",2016,"Asian Alone","2019 Dollars","Second",51507
"981",2016,"Asian Alone","2019 Dollars","Middle",87391
"982",2016,"Asian Alone","2019 Dollars","Fourth",137916
"983",2016,"Asian Alone","2019 Dollars","Highest",281436
"984",2016,"Asian Alone","2019 Dollars","Top 5%",468361
"985",2015,"Asian Alone","2019 Dollars","Lowest",15566
"986",2015,"Asian Alone","2019 Dollars","Second",48715
"987",2015,"Asian Alone","2019 Dollars","Middle",83956
"988",2015,"Asian Alone","2019 Dollars","Fourth",134377
"989",2015,"Asian Alone","2019 Dollars","Highest",286165
"990",2015,"Asian Alone","2019 Dollars","Top 5%",489928
"991",2014,"Asian Alone","2019 Dollars","Lowest",15111
"992",2014,"Asian Alone","2019 Dollars","Second",45608
"993",2014,"Asian Alone","2019 Dollars","Middle",80595
"994",2014,"Asian Alone","2019 Dollars","Fourth",128206
"995",2014,"Asian Alone","2019 Dollars","Highest",257784
"996",2014,"Asian Alone","2019 Dollars","Top 5%",426424
"997",2013,"Asian Alone","2019 Dollars","Lowest",14763
"998",2013,"Asian Alone","2019 Dollars","Second",47572
"999",2013,"Asian Alone","2019 Dollars","Middle",80454
"1000",2013,"Asian Alone","2019 Dollars","Fourth",126229
"1001",2013,"Asian Alone","2019 Dollars","Highest",287261
"1002",2013,"Asian Alone","2019 Dollars","Top 5%",516365
"1003",2012,"Asian Alone","2019 Dollars","Lowest",15052
"1004",2012,"Asian Alone","2019 Dollars","Second",45524
"1005",2012,"Asian Alone","2019 Dollars","Middle",76723
"1006",2012,"Asian Alone","2019 Dollars","Fourth",120621
"1007",2012,"Asian Alone","2019 Dollars","Highest",251891
"1008",2012,"Asian Alone","2019 Dollars","Top 5%",418556
"1009",2011,"Asian Alone","2019 Dollars","Lowest",14601
"1010",2011,"Asian Alone","2019 Dollars","Second",42790
"1011",2011,"Asian Alone","2019 Dollars","Middle",74073
"1012",2011,"Asian Alone","2019 Dollars","Fourth",114688
"1013",2011,"Asian Alone","2019 Dollars","Highest",241669
"1014",2011,"Asian Alone","2019 Dollars","Top 5%",418081
"1015",2010,"Asian Alone","2019 Dollars","Lowest",14544
"1016",2010,"Asian Alone","2019 Dollars","Second",44155
"1017",2010,"Asian Alone","2019 Dollars","Middle",76011
"1018",2010,"Asian Alone","2019 Dollars","Fourth",122151
"1019",2010,"Asian Alone","2019 Dollars","Highest",240110
"1020",2010,"Asian Alone","2019 Dollars","Top 5%",378378
"1021",2009,"Asian Alone","2019 Dollars","Lowest",14592
"1022",2009,"Asian Alone","2019 Dollars","Second",44728
"1023",2009,"Asian Alone","2019 Dollars","Middle",78179
"1024",2009,"Asian Alone","2019 Dollars","Fourth",124724
"1025",2009,"Asian Alone","2019 Dollars","Highest",280135
"1026",2009,"Asian Alone","2019 Dollars","Top 5%",514333
"1027",2008,"Asian Alone","2019 Dollars","Lowest",14618
"1028",2008,"Asian Alone","2019 Dollars","Second",43910
"1029",2008,"Asian Alone","2019 Dollars","Middle",77798
"1030",2008,"Asian Alone","2019 Dollars","Fourth",124165
"1031",2008,"Asian Alone","2019 Dollars","Highest",252448
"1032",2008,"Asian Alone","2019 Dollars","Top 5%",426348
"1033",2007,"Asian Alone","2019 Dollars","Lowest",16363
"1034",2007,"Asian Alone","2019 Dollars","Second",48169
"1035",2007,"Asian Alone","2019 Dollars","Middle",82139
"1036",2007,"Asian Alone","2019 Dollars","Fourth",125753
"1037",2007,"Asian Alone","2019 Dollars","Highest",253010
"1038",2007,"Asian Alone","2019 Dollars","Top 5%",424302
"1039",2006,"Asian Alone","2019 Dollars","Lowest",17254
"1040",2006,"Asian Alone","2019 Dollars","Second",48852
"1041",2006,"Asian Alone","2019 Dollars","Middle",81920
"1042",2006,"Asian Alone","2019 Dollars","Fourth",128765
"1043",2006,"Asian Alone","2019 Dollars","Highest",284354
"1044",2006,"Asian Alone","2019 Dollars","Top 5%",532746
"1045",2005,"Asian Alone","2019 Dollars","Lowest",15308
"1046",2005,"Asian Alone","2019 Dollars","Second",48219
"1047",2005,"Asian Alone","2019 Dollars","Middle",80375
"1048",2005,"Asian Alone","2019 Dollars","Fourth",124555
"1049",2005,"Asian Alone","2019 Dollars","Highest",257096
"1050",2005,"Asian Alone","2019 Dollars","Top 5%",425083
"1051",2004,"Asian Alone","2019 Dollars","Lowest",16440
"1052",2004,"Asian Alone","2019 Dollars","Second",47442
"1053",2004,"Asian Alone","2019 Dollars","Middle",78467
"1054",2004,"Asian Alone","2019 Dollars","Fourth",121259
"1055",2004,"Asian Alone","2019 Dollars","Highest",255466
"1056",2004,"Asian Alone","2019 Dollars","Top 5%",446475
"1057",2003,"Asian Alone","2019 Dollars","Lowest",12856
"1058",2003,"Asian Alone","2019 Dollars","Second",44058
"1059",2003,"Asian Alone","2019 Dollars","Middle",77385
"1060",2003,"Asian Alone","2019 Dollars","Fourth",119687
"1061",2003,"Asian Alone","2019 Dollars","Highest",233522
"1062",2003,"Asian Alone","2019 Dollars","Top 5%",370769
"1063",2002,"Asian Alone","2019 Dollars","Lowest",16321
"1064",2002,"Asian Alone","2019 Dollars","Second",45280
"1065",2002,"Asian Alone","2019 Dollars","Middle",75651
"1066",2002,"Asian Alone","2019 Dollars","Fourth",118472
"1067",2002,"Asian Alone","2019 Dollars","Highest",243381
"1068",2002,"Asian Alone","2019 Dollars","Top 5%",414593
"1069",2019,"Black Alone or in Combination","Current Dollars","Lowest",8884
"1070",2019,"Black Alone or in Combination","Current Dollars","Second",26027
"1071",2019,"Black Alone or in Combination","Current Dollars","Middle",45996
"1072",2019,"Black Alone or in Combination","Current Dollars","Fourth",76372
"1073",2019,"Black Alone or in Combination","Current Dollars","Highest",182341
"1074",2019,"Black Alone or in Combination","Current Dollars","Top 5%",325902
"1075",2018,"Black Alone or in Combination","Current Dollars","Lowest",7686
"1076",2018,"Black Alone or in Combination","Current Dollars","Second",23523
"1077",2018,"Black Alone or in Combination","Current Dollars","Middle",41835
"1078",2018,"Black Alone or in Combination","Current Dollars","Fourth",68949
"1079",2018,"Black Alone or in Combination","Current Dollars","Highest",154822
"1080",2018,"Black Alone or in Combination","Current Dollars","Top 5%",255337
"1081",2017,"Black Alone or in Combination","Current Dollars","Lowest",7630
"1082",2017,"Black Alone or in Combination","Current Dollars","Second",22972
"1083",2017,"Black Alone or in Combination","Current Dollars","Middle",40694
"1084",2017,"Black Alone or in Combination","Current Dollars","Fourth",68360
"1085",2017,"Black Alone or in Combination","Current Dollars","Highest",155269
"1086",2017,"Black Alone or in Combination","Current Dollars","Top 5%",268795
"1087",2016,"Black Alone or in Combination","Current Dollars","Lowest",7495
"1088",2016,"Black Alone or in Combination","Current Dollars","Second",22302
"1089",2016,"Black Alone or in Combination","Current Dollars","Middle",39787
"1090",2016,"Black Alone or in Combination","Current Dollars","Fourth",65921
"1091",2016,"Black Alone or in Combination","Current Dollars","Highest",155103
"1092",2016,"Black Alone or in Combination","Current Dollars","Top 5%",280843
"1093",2015,"Black Alone or in Combination","Current Dollars","Lowest",7044
"1094",2015,"Black Alone or in Combination","Current Dollars","Second",20738
"1095",2015,"Black Alone or in Combination","Current Dollars","Middle",37544
"1096",2015,"Black Alone or in Combination","Current Dollars","Fourth",62999
"1097",2015,"Black Alone or in Combination","Current Dollars","Highest",145702
"1098",2015,"Black Alone or in Combination","Current Dollars","Top 5%",256167
"1099",2014,"Black Alone or in Combination","Current Dollars","Lowest",6755
"1100",2014,"Black Alone or in Combination","Current Dollars","Second",20032
"1101",2014,"Black Alone or in Combination","Current Dollars","Middle",35629
"1102",2014,"Black Alone or in Combination","Current Dollars","Fourth",59089
"1103",2014,"Black Alone or in Combination","Current Dollars","Highest",136597
"1104",2014,"Black Alone or in Combination","Current Dollars","Top 5%",232881
"1105",2013,"Black Alone or in Combination","Current Dollars","Lowest",6686
"1106",2013,"Black Alone or in Combination","Current Dollars","Second",20115
"1107",2013,"Black Alone or in Combination","Current Dollars","Middle",35610
"1108",2013,"Black Alone or in Combination","Current Dollars","Fourth",58211
"1109",2013,"Black Alone or in Combination","Current Dollars","Highest",137746
"1110",2013,"Black Alone or in Combination","Current Dollars","Top 5%",238493
"1111",2012,"Black Alone or in Combination","Current Dollars","Lowest",6619
"1112",2012,"Black Alone or in Combination","Current Dollars","Second",18767
"1113",2012,"Black Alone or in Combination","Current Dollars","Middle",33876
"1114",2012,"Black Alone or in Combination","Current Dollars","Fourth",56621
"1115",2012,"Black Alone or in Combination","Current Dollars","Highest",124916
"1116",2012,"Black Alone or in Combination","Current Dollars","Top 5%",207413
"1117",2011,"Black Alone or in Combination","Current Dollars","Lowest",6263
"1118",2011,"Black Alone or in Combination","Current Dollars","Second",17825
"1119",2011,"Black Alone or in Combination","Current Dollars","Middle",32632
"1120",2011,"Black Alone or in Combination","Current Dollars","Fourth",55229
"1121",2011,"Black Alone or in Combination","Current Dollars","Highest",125582
"1122",2011,"Black Alone or in Combination","Current Dollars","Top 5%",216220
"1123",2010,"Black Alone or in Combination","Current Dollars","Lowest",5979
"1124",2010,"Black Alone or in Combination","Current Dollars","Second",17832
"1125",2010,"Black Alone or in Combination","Current Dollars","Middle",32302
"1126",2010,"Black Alone or in Combination","Current Dollars","Fourth",53704
"1127",2010,"Black Alone or in Combination","Current Dollars","Highest",117678
"1128",2010,"Black Alone or in Combination","Current Dollars","Top 5%",195673
"1129",2009,"Black Alone or in Combination","Current Dollars","Lowest",6675
"1130",2009,"Black Alone or in Combination","Current Dollars","Second",18973
"1131",2009,"Black Alone or in Combination","Current Dollars","Middle",33069
"1132",2009,"Black Alone or in Combination","Current Dollars","Fourth",54423
"1133",2009,"Black Alone or in Combination","Current Dollars","Highest",118259
"1134",2009,"Black Alone or in Combination","Current Dollars","Top 5%",199353
"1135",2008,"Black Alone or in Combination","Current Dollars","Lowest",6893
"1136",2008,"Black Alone or in Combination","Current Dollars","Second",19672
"1137",2008,"Black Alone or in Combination","Current Dollars","Middle",34095
"1138",2008,"Black Alone or in Combination","Current Dollars","Fourth",54788
"1139",2008,"Black Alone or in Combination","Current Dollars","Highest",117946
"1140",2008,"Black Alone or in Combination","Current Dollars","Top 5%",192679
"1141",2007,"Black Alone or in Combination","Current Dollars","Lowest",6618
"1142",2007,"Black Alone or in Combination","Current Dollars","Second",18894
"1143",2007,"Black Alone or in Combination","Current Dollars","Middle",34060
"1144",2007,"Black Alone or in Combination","Current Dollars","Fourth",55556
"1145",2007,"Black Alone or in Combination","Current Dollars","Highest",119026
"1146",2007,"Black Alone or in Combination","Current Dollars","Top 5%",198165
"1147",2006,"Black Alone or in Combination","Current Dollars","Lowest",6317
"1148",2006,"Black Alone or in Combination","Current Dollars","Second",18440
"1149",2006,"Black Alone or in Combination","Current Dollars","Middle",32575
"1150",2006,"Black Alone or in Combination","Current Dollars","Fourth",52788
"1151",2006,"Black Alone or in Combination","Current Dollars","Highest",117346
"1152",2006,"Black Alone or in Combination","Current Dollars","Top 5%",200678
"1153",2005,"Black Alone or in Combination","Current Dollars","Lowest",6007
"1154",2005,"Black Alone or in Combination","Current Dollars","Second",17151
"1155",2005,"Black Alone or in Combination","Current Dollars","Middle",30921
"1156",2005,"Black Alone or in Combination","Current Dollars","Fourth",50571
"1157",2005,"Black Alone or in Combination","Current Dollars","Highest",108986
"1158",2005,"Black Alone or in Combination","Current Dollars","Top 5%",181857
"1159",2004,"Black Alone or in Combination","Current Dollars","Lowest",5652
"1160",2004,"Black Alone or in Combination","Current Dollars","Second",16971
"1161",2004,"Black Alone or in Combination","Current Dollars","Middle",29895
"1162",2004,"Black Alone or in Combination","Current Dollars","Fourth",48630
"1163",2004,"Black Alone or in Combination","Current Dollars","Highest",102648
"1164",2004,"Black Alone or in Combination","Current Dollars","Top 5%",169075
"1165",2003,"Black Alone or in Combination","Current Dollars","Lowest",5873
"1166",2003,"Black Alone or in Combination","Current Dollars","Second",16548
"1167",2003,"Black Alone or in Combination","Current Dollars","Middle",29608
"1168",2003,"Black Alone or in Combination","Current Dollars","Fourth",48339
"1169",2003,"Black Alone or in Combination","Current Dollars","Highest",101212
"1170",2003,"Black Alone or in Combination","Current Dollars","Top 5%",163699
"1171",2002,"Black Alone or in Combination","Current Dollars","Lowest",5797
"1172",2002,"Black Alone or in Combination","Current Dollars","Second",16409
"1173",2002,"Black Alone or in Combination","Current Dollars","Middle",29091
"1174",2002,"Black Alone or in Combination","Current Dollars","Fourth",46837
"1175",2002,"Black Alone or in Combination","Current Dollars","Highest",103537
"1176",2002,"Black Alone or in Combination","Current Dollars","Top 5%",176326
"1177",2019,"Black Alone","Current Dollars","Lowest",8680
"1178",2019,"Black Alone","Current Dollars","Second",25668
"1179",2019,"Black Alone","Current Dollars","Middle",45356
"1180",2019,"Black Alone","Current Dollars","Fourth",75403
"1181",2019,"Black Alone","Current Dollars","Highest",177659
"1182",2019,"Black Alone","Current Dollars","Top 5%",315171
"1183",2018,"Black Alone","Current Dollars","Lowest",7521
"1184",2018,"Black Alone","Current Dollars","Second",23238
"1185",2018,"Black Alone","Current Dollars","Middle",41451
"1186",2018,"Black Alone","Current Dollars","Fourth",68361
"1187",2018,"Black Alone","Current Dollars","Highest",152752
"1188",2018,"Black Alone","Current Dollars","Top 5%",250249
"1189",2017,"Black Alone","Current Dollars","Lowest",7465
"1190",2017,"Black Alone","Current Dollars","Second",22649
"1191",2017,"Black Alone","Current Dollars","Middle",40260
"1192",2017,"Black Alone","Current Dollars","Fourth",67619
"1193",2017,"Black Alone","Current Dollars","Highest",154972
"1194",2017,"Black Alone","Current Dollars","Top 5%",268759
"1195",2016,"Black Alone","Current Dollars","Lowest",7334
"1196",2016,"Black Alone","Current Dollars","Second",21975
"1197",2016,"Black Alone","Current Dollars","Middle",39299
"1198",2016,"Black Alone","Current Dollars","Fourth",65369
"1199",2016,"Black Alone","Current Dollars","Highest",153249
"1200",2016,"Black Alone","Current Dollars","Top 5%",276021
"1201",2015,"Black Alone","Current Dollars","Lowest",7020
"1202",2015,"Black Alone","Current Dollars","Second",20551
"1203",2015,"Black Alone","Current Dollars","Middle",37184
"1204",2015,"Black Alone","Current Dollars","Fourth",62533
"1205",2015,"Black Alone","Current Dollars","Highest",144472
"1206",2015,"Black Alone","Current Dollars","Top 5%",253296
"1207",2014,"Black Alone","Current Dollars","Lowest",6709
"1208",2014,"Black Alone","Current Dollars","Second",19906
"1209",2014,"Black Alone","Current Dollars","Middle",35369
"1210",2014,"Black Alone","Current Dollars","Fourth",58584
"1211",2014,"Black Alone","Current Dollars","Highest",135585
"1212",2014,"Black Alone","Current Dollars","Top 5%",230866
"1213",2013,"Black Alone","Current Dollars","Lowest",6508
"1214",2013,"Black Alone","Current Dollars","Second",19659
"1215",2013,"Black Alone","Current Dollars","Middle",35094
"1216",2013,"Black Alone","Current Dollars","Fourth",57769
"1217",2013,"Black Alone","Current Dollars","Highest",133239
"1218",2013,"Black Alone","Current Dollars","Top 5%",224809
"1219",2012,"Black Alone","Current Dollars","Lowest",6588
"1220",2012,"Black Alone","Current Dollars","Second",18613
"1221",2012,"Black Alone","Current Dollars","Middle",33553
"1222",2012,"Black Alone","Current Dollars","Fourth",56065
"1223",2012,"Black Alone","Current Dollars","Highest",123865
"1224",2012,"Black Alone","Current Dollars","Top 5%",206952
"1225",2011,"Black Alone","Current Dollars","Lowest",6264
"1226",2011,"Black Alone","Current Dollars","Second",17725
"1227",2011,"Black Alone","Current Dollars","Middle",32452
"1228",2011,"Black Alone","Current Dollars","Fourth",54901
"1229",2011,"Black Alone","Current Dollars","Highest",124935
"1230",2011,"Black Alone","Current Dollars","Top 5%",215803
"1231",2010,"Black Alone","Current Dollars","Lowest",5988
"1232",2010,"Black Alone","Current Dollars","Second",17728
"1233",2010,"Black Alone","Current Dollars","Middle",32208
"1234",2010,"Black Alone","Current Dollars","Fourth",53485
"1235",2010,"Black Alone","Current Dollars","Highest",115374
"1236",2010,"Black Alone","Current Dollars","Top 5%",189390
"1237",2009,"Black Alone","Current Dollars","Lowest",6657
"1238",2009,"Black Alone","Current Dollars","Second",18904
"1239",2009,"Black Alone","Current Dollars","Middle",32948
"1240",2009,"Black Alone","Current Dollars","Fourth",54184
"1241",2009,"Black Alone","Current Dollars","Highest",117536
"1242",2009,"Black Alone","Current Dollars","Top 5%",197685
"1243",2008,"Black Alone","Current Dollars","Lowest",6864
"1244",2008,"Black Alone","Current Dollars","Second",19585
"1245",2008,"Black Alone","Current Dollars","Middle",33991
"1246",2008,"Black Alone","Current Dollars","Fourth",54606
"1247",2008,"Black Alone","Current Dollars","Highest",117621
"1248",2008,"Black Alone","Current Dollars","Top 5%",192577
"1249",2007,"Black Alone","Current Dollars","Lowest",6609
"1250",2007,"Black Alone","Current Dollars","Second",18856
"1251",2007,"Black Alone","Current Dollars","Middle",33929
"1252",2007,"Black Alone","Current Dollars","Fourth",55351
"1253",2007,"Black Alone","Current Dollars","Highest",118408
"1254",2007,"Black Alone","Current Dollars","Top 5%",197523
"1255",2006,"Black Alone","Current Dollars","Lowest",6277
"1256",2006,"Black Alone","Current Dollars","Second",18309
"1257",2006,"Black Alone","Current Dollars","Middle",32348
"1258",2006,"Black Alone","Current Dollars","Fourth",52489
"1259",2006,"Black Alone","Current Dollars","Highest",116213
"1260",2006,"Black Alone","Current Dollars","Top 5%",198135
"1261",2005,"Black Alone","Current Dollars","Lowest",5958
"1262",2005,"Black Alone","Current Dollars","Second",17078
"1263",2005,"Black Alone","Current Dollars","Middle",30794
"1264",2005,"Black Alone","Current Dollars","Fourth",50306
"1265",2005,"Black Alone","Current Dollars","Highest",108134
"1266",2005,"Black Alone","Current Dollars","Top 5%",179829
"1267",2004,"Black Alone","Current Dollars","Lowest",5640
"1268",2004,"Black Alone","Current Dollars","Second",16876
"1269",2004,"Black Alone","Current Dollars","Middle",29705
"1270",2004,"Black Alone","Current Dollars","Fourth",48367
"1271",2004,"Black Alone","Current Dollars","Highest",102575
"1272",2004,"Black Alone","Current Dollars","Top 5%",169556
"1273",2003,"Black Alone","Current Dollars","Lowest",5822
"1274",2003,"Black Alone","Current Dollars","Second",16475
"1275",2003,"Black Alone","Current Dollars","Middle",29526
"1276",2003,"Black Alone","Current Dollars","Fourth",48126
"1277",2003,"Black Alone","Current Dollars","Highest",100704
"1278",2003,"Black Alone","Current Dollars","Top 5%",162357
"1279",2002,"Black Alone","Current Dollars","Lowest",5769
"1280",2002,"Black Alone","Current Dollars","Second",16340
"1281",2002,"Black Alone","Current Dollars","Middle",28959
"1282",2002,"Black Alone","Current Dollars","Fourth",46652
"1283",2002,"Black Alone","Current Dollars","Highest",102334
"1284",2002,"Black Alone","Current Dollars","Top 5%",172838
"1285",2001,"Black Alone","Current Dollars","Lowest",5951
"1286",2001,"Black Alone","Current Dollars","Second",16820
"1287",2001,"Black Alone","Current Dollars","Middle",29477
"1288",2001,"Black Alone","Current Dollars","Fourth",47424
"1289",2001,"Black Alone","Current Dollars","Highest",96569
"1290",2001,"Black Alone","Current Dollars","Top 5%",155104
"1291",2000,"Black Alone","Current Dollars","Lowest",6216
"1292",2000,"Black Alone","Current Dollars","Second",17127
"1293",2000,"Black Alone","Current Dollars","Middle",29595
"1294",2000,"Black Alone","Current Dollars","Fourth",46986
"1295",2000,"Black Alone","Current Dollars","Highest",95966
"1296",2000,"Black Alone","Current Dollars","Top 5%",153620
"1297",1999,"Black Alone","Current Dollars","Lowest",5897
"1298",1999,"Black Alone","Current Dollars","Second",15864
"1299",1999,"Black Alone","Current Dollars","Middle",28167
"1300",1999,"Black Alone","Current Dollars","Fourth",46143
"1301",1999,"Black Alone","Current Dollars","Highest",96240
"1302",1999,"Black Alone","Current Dollars","Top 5%",153711
"1303",1998,"Black Alone","Current Dollars","Lowest",5194
"1304",1998,"Black Alone","Current Dollars","Second",14036
"1305",1998,"Black Alone","Current Dollars","Middle",25262
"1306",1998,"Black Alone","Current Dollars","Fourth",41670
"1307",1998,"Black Alone","Current Dollars","Highest",84533
"1308",1998,"Black Alone","Current Dollars","Top 5%",130383
"1309",1997,"Black Alone","Current Dollars","Lowest",5253
"1310",1997,"Black Alone","Current Dollars","Second",13984
"1311",1997,"Black Alone","Current Dollars","Middle",24935
"1312",1997,"Black Alone","Current Dollars","Fourth",40420
"1313",1997,"Black Alone","Current Dollars","Highest",80226
"1314",1997,"Black Alone","Current Dollars","Top 5%",125902
"1315",1996,"Black Alone","Current Dollars","Lowest",5048
"1316",1996,"Black Alone","Current Dollars","Second",12998
"1317",1996,"Black Alone","Current Dollars","Middle",23452
"1318",1996,"Black Alone","Current Dollars","Fourth",38468
"1319",1996,"Black Alone","Current Dollars","Highest",82332
"1320",1996,"Black Alone","Current Dollars","Top 5%",140975
"1321",1995,"Black Alone","Current Dollars","Lowest",4814
"1322",1995,"Black Alone","Current Dollars","Second",12473
"1323",1995,"Black Alone","Current Dollars","Middle",22543
"1324",1995,"Black Alone","Current Dollars","Fourth",36710
"1325",1995,"Black Alone","Current Dollars","Highest",75460
"1326",1995,"Black Alone","Current Dollars","Top 5%",122558
"1327",1994,"Black Alone","Current Dollars","Lowest",4421
"1328",1994,"Black Alone","Current Dollars","Second",11485
"1329",1994,"Black Alone","Current Dollars","Middle",20988
"1330",1994,"Black Alone","Current Dollars","Fourth",35542
"1331",1994,"Black Alone","Current Dollars","Highest",73860
"1332",1994,"Black Alone","Current Dollars","Top 5%",117433
"1333",1993,"Black Alone","Current Dollars","Lowest",4118
"1334",1993,"Black Alone","Current Dollars","Second",10414
"1335",1993,"Black Alone","Current Dollars","Middle",19481
"1336",1993,"Black Alone","Current Dollars","Fourth",32270
"1337",1993,"Black Alone","Current Dollars","Highest",69863
"1338",1993,"Black Alone","Current Dollars","Top 5%",114622
"1339",1992,"Black Alone","Current Dollars","Lowest",3907
"1340",1992,"Black Alone","Current Dollars","Second",9901
"1341",1992,"Black Alone","Current Dollars","Middle",18708
"1342",1992,"Black Alone","Current Dollars","Fourth",31522
"1343",1992,"Black Alone","Current Dollars","Highest",63214
"1344",1992,"Black Alone","Current Dollars","Top 5%",97433
"1345",1991,"Black Alone","Current Dollars","Lowest",3841
"1346",1991,"Black Alone","Current Dollars","Second",9823
"1347",1991,"Black Alone","Current Dollars","Middle",18819
"1348",1991,"Black Alone","Current Dollars","Fourth",31518
"1349",1991,"Black Alone","Current Dollars","Highest",61213
"1350",1991,"Black Alone","Current Dollars","Top 5%",91891
"1351",1990,"Black Alone","Current Dollars","Lowest",3823
"1352",1990,"Black Alone","Current Dollars","Second",9758
"1353",1990,"Black Alone","Current Dollars","Middle",18650
"1354",1990,"Black Alone","Current Dollars","Fourth",31092
"1355",1990,"Black Alone","Current Dollars","Highest",60745
"1356",1990,"Black Alone","Current Dollars","Top 5%",91901
