"","year","race","dollar_type","number","income_quintile","income_dollars"
"709",2002,"Asian Alone or in Combination","Current Dollars",3917000,"Fourth",102000
"710",2002,"Asian Alone or in Combination","Current Dollars",3917000,"Top 5%",180083
"711",2019,"Asian Alone","2019 Dollars",7334000,"Lowest",40200
"712",2019,"Asian Alone","2019 Dollars",7334000,"Second",77000
"713",2019,"Asian Alone","2019 Dollars",7334000,"Third",120508
"714",2019,"Asian Alone","2019 Dollars",7334000,"Fourth",190330
"715",2019,"Asian Alone","2019 Dollars",7334000,"Top 5%",356573
"716",2018,"Asian Alone","2019 Dollars",7416000,"Lowest",34209
"717",2018,"Asian Alone","2019 Dollars",7416000,"Second",68579
"718",2018,"Asian Alone","2019 Dollars",7416000,"Third",109697
"719",2018,"Asian Alone","2019 Dollars",7416000,"Fourth",178578
"720",2018,"Asian Alone","2019 Dollars",7416000,"Top 5%",329508
"721",2017,"Asian Alone","2019 Dollars",7114000,"Lowest",33374
"722",2017,"Asian Alone","2019 Dollars",7114000,"Second",67273
"723",2017,"Asian Alone","2019 Dollars",7114000,"Third",105754
"724",2017,"Asian Alone","2019 Dollars",7114000,"Fourth",176315
"725",2017,"Asian Alone","2019 Dollars",7114000,"Top 5%",323279
"726",2016,"Asian Alone","2019 Dollars",6750000,"Lowest",33394
"727",2016,"Asian Alone","2019 Dollars",6750000,"Second",69249
"728",2016,"Asian Alone","2019 Dollars",6750000,"Third",106587
"729",2016,"Asian Alone","2019 Dollars",6750000,"Fourth",170599
"730",2016,"Asian Alone","2019 Dollars",6750000,"Top 5%",292240
"731",2015,"Asian Alone","2019 Dollars",6640000,"Lowest",32373
"732",2015,"Asian Alone","2019 Dollars",6640000,"Second",64746
"733",2015,"Asian Alone","2019 Dollars",6640000,"Third",105303
"734",2015,"Asian Alone","2019 Dollars",6640000,"Fourth",169698
"735",2015,"Asian Alone","2019 Dollars",6640000,"Top 5%",302258
"736",2014,"Asian Alone","2019 Dollars",6333000,"Lowest",31132
"737",2014,"Asian Alone","2019 Dollars",6333000,"Second",63647
"738",2014,"Asian Alone","2019 Dollars",6333000,"Third",101254
"739",2014,"Asian Alone","2019 Dollars",6333000,"Fourth",158902
"740",2014,"Asian Alone","2019 Dollars",6333000,"Top 5%",277267
"741",2013,"Asian Alone","2019 Dollars",6160000,"Lowest",30999
"742",2013,"Asian Alone","2019 Dollars",6160000,"Second",62809
"743",2013,"Asian Alone","2019 Dollars",6160000,"Third",99099
"744",2013,"Asian Alone","2019 Dollars",6160000,"Fourth",160658
"745",2013,"Asian Alone","2019 Dollars",6160000,"Top 5%",285810
"746",2012,"Asian Alone","2019 Dollars",5872000,"Lowest",31192
"747",2012,"Asian Alone","2019 Dollars",5872000,"Second",60549
"748",2012,"Asian Alone","2019 Dollars",5872000,"Third",94774
"749",2012,"Asian Alone","2019 Dollars",5872000,"Fourth",152838
"750",2012,"Asian Alone","2019 Dollars",5872000,"Top 5%",272197
"751",2011,"Asian Alone","2019 Dollars",5705000,"Lowest",28482
"752",2011,"Asian Alone","2019 Dollars",5705000,"Second",57010
"753",2011,"Asian Alone","2019 Dollars",5705000,"Third",91480
"754",2011,"Asian Alone","2019 Dollars",5705000,"Fourth",142909
"755",2011,"Asian Alone","2019 Dollars",5705000,"Top 5%",255351
"756",2010,"Asian Alone","2019 Dollars",5550000,"Lowest",28790
"757",2010,"Asian Alone","2019 Dollars",5550000,"Second",58778
"758",2010,"Asian Alone","2019 Dollars",5550000,"Third",94007
"759",2010,"Asian Alone","2019 Dollars",5550000,"Fourth",152762
"760",2010,"Asian Alone","2019 Dollars",5550000,"Top 5%",254135
"761",2009,"Asian Alone","2019 Dollars",4940000,"Lowest",29862
"762",2009,"Asian Alone","2019 Dollars",4940000,"Second",59726
"763",2009,"Asian Alone","2019 Dollars",4940000,"Third",97947
"764",2009,"Asian Alone","2019 Dollars",4940000,"Fourth",155927
"765",2009,"Asian Alone","2019 Dollars",4940000,"Top 5%",278672
"766",2008,"Asian Alone","2019 Dollars",4805000,"Lowest",28925
"767",2008,"Asian Alone","2019 Dollars",4805000,"Second",59516
"768",2008,"Asian Alone","2019 Dollars",4805000,"Third",97864
"769",2008,"Asian Alone","2019 Dollars",4805000,"Fourth",153419
"770",2008,"Asian Alone","2019 Dollars",4805000,"Top 5%",262145
"771",2007,"Asian Alone","2019 Dollars",4715000,"Lowest",31297
"772",2007,"Asian Alone","2019 Dollars",4715000,"Second",63508
"773",2007,"Asian Alone","2019 Dollars",4715000,"Third",100430
"774",2007,"Asian Alone","2019 Dollars",4715000,"Fourth",155495
"775",2007,"Asian Alone","2019 Dollars",4715000,"Top 5%",260189
"776",2006,"Asian Alone","2019 Dollars",4664000,"Lowest",33697
"777",2006,"Asian Alone","2019 Dollars",4664000,"Second",63555
"778",2006,"Asian Alone","2019 Dollars",4664000,"Third",101688
"779",2006,"Asian Alone","2019 Dollars",4664000,"Fourth",159650
"780",2006,"Asian Alone","2019 Dollars",4664000,"Top 5%",279668
"781",2005,"Asian Alone","2019 Dollars",4500000,"Lowest",31495
"782",2005,"Asian Alone","2019 Dollars",4500000,"Second",64907
"783",2005,"Asian Alone","2019 Dollars",4500000,"Third",98819
"784",2005,"Asian Alone","2019 Dollars",4500000,"Fourth",153408
"785",2005,"Asian Alone","2019 Dollars",4500000,"Top 5%",278214
"786",2004,"Asian Alone","2019 Dollars",4346000,"Lowest",32562
"787",2004,"Asian Alone","2019 Dollars",4346000,"Second",63496
"788",2004,"Asian Alone","2019 Dollars",4346000,"Third",96058
"789",2004,"Asian Alone","2019 Dollars",4346000,"Fourth",149702
"790",2004,"Asian Alone","2019 Dollars",4346000,"Top 5%",256381
"791",2003,"Asian Alone","2019 Dollars",4235000,"Lowest",26475
"792",2003,"Asian Alone","2019 Dollars",4235000,"Second",59460
"793",2003,"Asian Alone","2019 Dollars",4235000,"Third",96864
"794",2003,"Asian Alone","2019 Dollars",4235000,"Fourth",146871
"795",2003,"Asian Alone","2019 Dollars",4235000,"Top 5%",239946
"796",2002,"Asian Alone","2019 Dollars",4079000,"Lowest",31354
"797",2002,"Asian Alone","2019 Dollars",4079000,"Second",58499
"798",2002,"Asian Alone","2019 Dollars",4079000,"Third",92805
"799",2002,"Asian Alone","2019 Dollars",4079000,"Fourth",144358
"800",2002,"Asian Alone","2019 Dollars",4079000,"Top 5%",254900
"801",2019,"Asian Alone","2019 Dollars",6853000,"Lowest",40002
"802",2019,"Asian Alone","2019 Dollars",6853000,"Second",78000
"803",2019,"Asian Alone","2019 Dollars",6853000,"Third",121131
"804",2019,"Asian Alone","2019 Dollars",6853000,"Fourth",192400
"805",2019,"Asian Alone","2019 Dollars",6853000,"Top 5%",359550
"806",2018,"Asian Alone","2019 Dollars",6981000,"Lowest",34209
"807",2018,"Asian Alone","2019 Dollars",6981000,"Second",69193
"808",2018,"Asian Alone","2019 Dollars",6981000,"Third",110467
"809",2018,"Asian Alone","2019 Dollars",6981000,"Fourth",180472
"810",2018,"Asian Alone","2019 Dollars",6981000,"Top 5%",329508
"811",2017,"Asian Alone","2019 Dollars",6735000,"Lowest",33374
"812",2017,"Asian Alone","2019 Dollars",6735000,"Second",67793
"813",2017,"Asian Alone","2019 Dollars",6735000,"Third",105979
"814",2017,"Asian Alone","2019 Dollars",6735000,"Fourth",177358
"815",2017,"Asian Alone","2019 Dollars",6735000,"Top 5%",320955
"816",2016,"Asian Alone","2019 Dollars",6392000,"Lowest",33764
"817",2016,"Asian Alone","2019 Dollars",6392000,"Second",69371
"818",2016,"Asian Alone","2019 Dollars",6392000,"Third",106936
"819",2016,"Asian Alone","2019 Dollars",6392000,"Fourth",173414
"820",2016,"Asian Alone","2019 Dollars",6392000,"Top 5%",292986
"821",2015,"Asian Alone","2019 Dollars",6328000,"Lowest",32373
"822",2015,"Asian Alone","2019 Dollars",6328000,"Second",64749
"823",2015,"Asian Alone","2019 Dollars",6328000,"Third",106667
"824",2015,"Asian Alone","2019 Dollars",6328000,"Fourth",170618
"825",2015,"Asian Alone","2019 Dollars",6328000,"Top 5%",302147
"826",2014,"Asian Alone","2019 Dollars",6040000,"Lowest",30281
"827",2014,"Asian Alone","2019 Dollars",6040000,"Second",62775
"828",2014,"Asian Alone","2019 Dollars",6040000,"Third",102454
"829",2014,"Asian Alone","2019 Dollars",6040000,"Fourth",159262
"830",2014,"Asian Alone","2019 Dollars",6040000,"Top 5%",276727
"831",2013,"Asian Alone","2019 Dollars",5818000,"Lowest",30870
"832",2013,"Asian Alone","2019 Dollars",5818000,"Second",62933
"833",2013,"Asian Alone","2019 Dollars",5818000,"Third",99759
"834",2013,"Asian Alone","2019 Dollars",5818000,"Fourth",161808
"835",2013,"Asian Alone","2019 Dollars",5818000,"Top 5%",288149
"836",2012,"Asian Alone","2019 Dollars",5560000,"Lowest",30749
"837",2012,"Asian Alone","2019 Dollars",5560000,"Second",60702
"838",2012,"Asian Alone","2019 Dollars",5560000,"Third",94822
"839",2012,"Asian Alone","2019 Dollars",5560000,"Fourth",153461
"840",2012,"Asian Alone","2019 Dollars",5560000,"Top 5%",274082
"841",2011,"Asian Alone","2019 Dollars",5374000,"Lowest",28621
"842",2011,"Asian Alone","2019 Dollars",5374000,"Second",57138
"843",2011,"Asian Alone","2019 Dollars",5374000,"Third",91636
"844",2011,"Asian Alone","2019 Dollars",5374000,"Fourth",142626
"845",2011,"Asian Alone","2019 Dollars",5374000,"Top 5%",254152
"846",2010,"Asian Alone","2019 Dollars",5212000,"Lowest",28622
"847",2010,"Asian Alone","2019 Dollars",5212000,"Second",58990
"848",2010,"Asian Alone","2019 Dollars",5212000,"Third",95183
"849",2010,"Asian Alone","2019 Dollars",5212000,"Fourth",154219
"850",2010,"Asian Alone","2019 Dollars",5212000,"Top 5%",256170
"851",2009,"Asian Alone","2019 Dollars",4687000,"Lowest",29862
"852",2009,"Asian Alone","2019 Dollars",4687000,"Second",59956
"853",2009,"Asian Alone","2019 Dollars",4687000,"Third",98150
"854",2009,"Asian Alone","2019 Dollars",4687000,"Fourth",156477
"855",2009,"Asian Alone","2019 Dollars",4687000,"Top 5%",279606
"856",2008,"Asian Alone","2019 Dollars",4573000,"Lowest",28731
"857",2008,"Asian Alone","2019 Dollars",4573000,"Second",59516
"858",2008,"Asian Alone","2019 Dollars",4573000,"Third",98416
"859",2008,"Asian Alone","2019 Dollars",4573000,"Fourth",154742
"860",2008,"Asian Alone","2019 Dollars",4573000,"Top 5%",262106
"861",2007,"Asian Alone","2019 Dollars",4494000,"Lowest",31287
"862",2007,"Asian Alone","2019 Dollars",4494000,"Second",63533
"863",2007,"Asian Alone","2019 Dollars",4494000,"Third",101356
"864",2007,"Asian Alone","2019 Dollars",4494000,"Fourth",155495
"865",2007,"Asian Alone","2019 Dollars",4494000,"Top 5%",260806
"866",2006,"Asian Alone","2019 Dollars",4454000,"Lowest",33430
"867",2006,"Asian Alone","2019 Dollars",4454000,"Second",63555
"868",2006,"Asian Alone","2019 Dollars",4454000,"Third",101945
"869",2006,"Asian Alone","2019 Dollars",4454000,"Fourth",160159
"870",2006,"Asian Alone","2019 Dollars",4454000,"Top 5%",282730
"871",2005,"Asian Alone","2019 Dollars",4273000,"Lowest",31495
"872",2005,"Asian Alone","2019 Dollars",4273000,"Second",65302
"873",2005,"Asian Alone","2019 Dollars",4273000,"Third",98685
"874",2005,"Asian Alone","2019 Dollars",4273000,"Fourth",153582
"875",2005,"Asian Alone","2019 Dollars",4273000,"Top 5%",285426
"876",2004,"Asian Alone","2019 Dollars",4123000,"Lowest",32562
"877",2004,"Asian Alone","2019 Dollars",4123000,"Second",63768
"878",2004,"Asian Alone","2019 Dollars",4123000,"Third",96674
"879",2004,"Asian Alone","2019 Dollars",4123000,"Fourth",150337
"880",2004,"Asian Alone","2019 Dollars",4123000,"Top 5%",262823
"881",2003,"Asian Alone","2019 Dollars",4040000,"Lowest",26001
"882",2003,"Asian Alone","2019 Dollars",4040000,"Second",59889
"883",2003,"Asian Alone","2019 Dollars",4040000,"Third",97539
"884",2003,"Asian Alone","2019 Dollars",4040000,"Fourth",148733
"885",2003,"Asian Alone","2019 Dollars",4040000,"Top 5%",242503
"886",2002,"Asian Alone","2019 Dollars",3917000,"Lowest",31361
"887",2002,"Asian Alone","2019 Dollars",3917000,"Second",58648
"888",2002,"Asian Alone","2019 Dollars",3917000,"Third",93612
"889",2002,"Asian Alone","2019 Dollars",3917000,"Fourth",145356
"890",2002,"Asian Alone","2019 Dollars",3917000,"Top 5%",256628
"891",2019,"Black Alone or in Combination","Current Dollars",18055000,"Lowest",17401
"892",2019,"Black Alone or in Combination","Current Dollars",18055000,"Second",35000
"893",2019,"Black Alone or in Combination","Current Dollars",18055000,"Third",58469
"894",2019,"Black Alone or in Combination","Current Dollars",18055000,"Fourth",1e+05
"895",2019,"Black Alone or in Combination","Current Dollars",18055000,"Top 5%",198194
"896",2018,"Black Alone or in Combination","Current Dollars",18095000,"Lowest",15600
"897",2018,"Black Alone or in Combination","Current Dollars",18095000,"Second",31800
"898",2018,"Black Alone or in Combination","Current Dollars",18095000,"Third",53000
"899",2018,"Black Alone or in Combination","Current Dollars",18095000,"Fourth",89528
"900",2018,"Black Alone or in Combination","Current Dollars",18095000,"Top 5%",172110
"901",2017,"Black Alone or in Combination","Current Dollars",17801000,"Lowest",15000
"902",2017,"Black Alone or in Combination","Current Dollars",17801000,"Second",31185
"903",2017,"Black Alone or in Combination","Current Dollars",17801000,"Third",52000
"904",2017,"Black Alone or in Combination","Current Dollars",17801000,"Fourth",88370
"905",2017,"Black Alone or in Combination","Current Dollars",17801000,"Top 5%",166390
"906",2016,"Black Alone or in Combination","Current Dollars",17505000,"Lowest",14732
"907",2016,"Black Alone or in Combination","Current Dollars",17505000,"Second",30004
"908",2016,"Black Alone or in Combination","Current Dollars",17505000,"Third",50092
"909",2016,"Black Alone or in Combination","Current Dollars",17505000,"Fourth",85316
"910",2016,"Black Alone or in Combination","Current Dollars",17505000,"Top 5%",159622
"911",2015,"Black Alone or in Combination","Current Dollars",17322000,"Lowest",13800
"912",2015,"Black Alone or in Combination","Current Dollars",17322000,"Second",28600
"913",2015,"Black Alone or in Combination","Current Dollars",17322000,"Third",48730
"914",2015,"Black Alone or in Combination","Current Dollars",17322000,"Fourth",81644
"915",2015,"Black Alone or in Combination","Current Dollars",17322000,"Top 5%",150584
"916",2014,"Black Alone or in Combination","Current Dollars",17198000,"Lowest",13259
"917",2014,"Black Alone or in Combination","Current Dollars",17198000,"Second",27120
"918",2014,"Black Alone or in Combination","Current Dollars",17198000,"Third",45057
"919",2014,"Black Alone or in Combination","Current Dollars",17198000,"Fourth",77880
"920",2014,"Black Alone or in Combination","Current Dollars",17198000,"Top 5%",148000
"921",2013,"Black Alone or in Combination","Current Dollars",16723000,"Lowest",13232
"922",2013,"Black Alone or in Combination","Current Dollars",16723000,"Second",27301
"923",2013,"Black Alone or in Combination","Current Dollars",16723000,"Third",45000
"924",2013,"Black Alone or in Combination","Current Dollars",16723000,"Fourth",77000
"925",2013,"Black Alone or in Combination","Current Dollars",16723000,"Top 5%",149195
"926",2012,"Black Alone or in Combination","Current Dollars",16559000,"Lowest",12587
"927",2012,"Black Alone or in Combination","Current Dollars",16559000,"Second",25007
"928",2012,"Black Alone or in Combination","Current Dollars",16559000,"Third",43783
"929",2012,"Black Alone or in Combination","Current Dollars",16559000,"Fourth",74000
"930",2012,"Black Alone or in Combination","Current Dollars",16559000,"Top 5%",135802
"931",2011,"Black Alone or in Combination","Current Dollars",16165000,"Lowest",12000
"932",2011,"Black Alone or in Combination","Current Dollars",16165000,"Second",24730
"933",2011,"Black Alone or in Combination","Current Dollars",16165000,"Third",42000
"934",2011,"Black Alone or in Combination","Current Dollars",16165000,"Fourth",71852
"935",2011,"Black Alone or in Combination","Current Dollars",16165000,"Top 5%",134226
"936",2010,"Black Alone or in Combination","Current Dollars",15909000,"Lowest",11800
"937",2010,"Black Alone or in Combination","Current Dollars",15909000,"Second",24700
"938",2010,"Black Alone or in Combination","Current Dollars",15909000,"Third",40950
"939",2010,"Black Alone or in Combination","Current Dollars",15909000,"Fourth",70000
"940",2010,"Black Alone or in Combination","Current Dollars",15909000,"Top 5%",128340
"941",2009,"Black Alone or in Combination","Current Dollars",15212000,"Lowest",12811
"942",2009,"Black Alone or in Combination","Current Dollars",15212000,"Second",25200
"943",2009,"Black Alone or in Combination","Current Dollars",15212000,"Third",42000
"944",2009,"Black Alone or in Combination","Current Dollars",15212000,"Fourth",70114
"945",2009,"Black Alone or in Combination","Current Dollars",15212000,"Top 5%",126300
"946",2008,"Black Alone or in Combination","Current Dollars",15056000,"Lowest",13000
"947",2008,"Black Alone or in Combination","Current Dollars",15056000,"Second",26200
"948",2008,"Black Alone or in Combination","Current Dollars",15056000,"Third",42640
"949",2008,"Black Alone or in Combination","Current Dollars",15056000,"Fourth",70812
"950",2008,"Black Alone or in Combination","Current Dollars",15056000,"Top 5%",127565
"951",2007,"Black Alone or in Combination","Current Dollars",14976000,"Lowest",12524
"952",2007,"Black Alone or in Combination","Current Dollars",14976000,"Second",26000
"953",2007,"Black Alone or in Combination","Current Dollars",14976000,"Third",43005
"954",2007,"Black Alone or in Combination","Current Dollars",14976000,"Fourth",71000
"955",2007,"Black Alone or in Combination","Current Dollars",14976000,"Top 5%",126400
"956",2006,"Black Alone or in Combination","Current Dollars",14709000,"Lowest",12138
"957",2006,"Black Alone or in Combination","Current Dollars",14709000,"Second",25000
"958",2006,"Black Alone or in Combination","Current Dollars",14709000,"Third",40500
"959",2006,"Black Alone or in Combination","Current Dollars",14709000,"Fourth",67600
"960",2006,"Black Alone or in Combination","Current Dollars",14709000,"Top 5%",123460
"961",2005,"Black Alone or in Combination","Current Dollars",14399000,"Lowest",11654
"962",2005,"Black Alone or in Combination","Current Dollars",14399000,"Second",23090
"963",2005,"Black Alone or in Combination","Current Dollars",14399000,"Third",39944
"964",2005,"Black Alone or in Combination","Current Dollars",14399000,"Fourth",64297
"965",2005,"Black Alone or in Combination","Current Dollars",14399000,"Top 5%",117957
"966",2004,"Black Alone or in Combination","Current Dollars",14151000,"Lowest",11000
"967",2004,"Black Alone or in Combination","Current Dollars",14151000,"Second",23000
"968",2004,"Black Alone or in Combination","Current Dollars",14151000,"Third",37514
"969",2004,"Black Alone or in Combination","Current Dollars",14151000,"Fourth",62814
"970",2004,"Black Alone or in Combination","Current Dollars",14151000,"Top 5%",111920
"971",2003,"Black Alone or in Combination","Current Dollars",13969000,"Lowest",11000
"972",2003,"Black Alone or in Combination","Current Dollars",13969000,"Second",22690
"973",2003,"Black Alone or in Combination","Current Dollars",13969000,"Third",38000
"974",2003,"Black Alone or in Combination","Current Dollars",13969000,"Fourth",61824
"975",2003,"Black Alone or in Combination","Current Dollars",13969000,"Top 5%",109148
"976",2002,"Black Alone or in Combination","Current Dollars",13778000,"Lowest",11000
"977",2002,"Black Alone or in Combination","Current Dollars",13778000,"Second",22276
"978",2002,"Black Alone or in Combination","Current Dollars",13778000,"Third",36000
"979",2002,"Black Alone or in Combination","Current Dollars",13778000,"Fourth",60441
"980",2002,"Black Alone or in Combination","Current Dollars",13778000,"Top 5%",110000
"981",2019,"Black Alone","Current Dollars",17054000,"Lowest",17200
"982",2019,"Black Alone","Current Dollars",17054000,"Second",34800
"983",2019,"Black Alone","Current Dollars",17054000,"Third",57313
"984",2019,"Black Alone","Current Dollars",17054000,"Fourth",98336
"985",2019,"Black Alone","Current Dollars",17054000,"Top 5%",192500
"986",2018,"Black Alone","Current Dollars",17167000,"Lowest",15175
"987",2018,"Black Alone","Current Dollars",17167000,"Second",31400
"988",2018,"Black Alone","Current Dollars",17167000,"Third",52202
"989",2018,"Black Alone","Current Dollars",17167000,"Fourth",88800
"990",2018,"Black Alone","Current Dollars",17167000,"Top 5%",170563
"991",2017,"Black Alone","Current Dollars",16997000,"Lowest",15000
"992",2017,"Black Alone","Current Dollars",16997000,"Second",31000
"993",2017,"Black Alone","Current Dollars",16997000,"Third",51043
"994",2017,"Black Alone","Current Dollars",16997000,"Fourth",87626
"995",2017,"Black Alone","Current Dollars",16997000,"Top 5%",165623
"996",2016,"Black Alone","Current Dollars",16733000,"Lowest",14400
"997",2016,"Black Alone","Current Dollars",16733000,"Second",30000
"998",2016,"Black Alone","Current Dollars",16733000,"Third",50000
"999",2016,"Black Alone","Current Dollars",16733000,"Fourth",85000
"1000",2016,"Black Alone","Current Dollars",16733000,"Top 5%",158002
"1001",2015,"Black Alone","Current Dollars",16539000,"Lowest",13670
"1002",2015,"Black Alone","Current Dollars",16539000,"Second",28153
"1003",2015,"Black Alone","Current Dollars",16539000,"Third",48144
"1004",2015,"Black Alone","Current Dollars",16539000,"Fourth",81001
"1005",2015,"Black Alone","Current Dollars",16539000,"Top 5%",150287
"1006",2014,"Black Alone","Current Dollars",16437000,"Lowest",13224
"1007",2014,"Black Alone","Current Dollars",16437000,"Second",27000
"1008",2014,"Black Alone","Current Dollars",16437000,"Third",45005
"1009",2014,"Black Alone","Current Dollars",16437000,"Fourth",77114
"1010",2014,"Black Alone","Current Dollars",16437000,"Top 5%",146947
"1011",2013,"Black Alone","Current Dollars",16009000,"Lowest",13000
"1012",2013,"Black Alone","Current Dollars",16009000,"Second",26800
"1013",2013,"Black Alone","Current Dollars",16009000,"Third",44566
"1014",2013,"Black Alone","Current Dollars",16009000,"Fourth",75608
"1015",2013,"Black Alone","Current Dollars",16009000,"Top 5%",144852
"1016",2012,"Black Alone","Current Dollars",15872000,"Lowest",12500
"1017",2012,"Black Alone","Current Dollars",15872000,"Second",25000
"1018",2012,"Black Alone","Current Dollars",15872000,"Third",43216
"1019",2012,"Black Alone","Current Dollars",15872000,"Fourth",73000
"1020",2012,"Black Alone","Current Dollars",15872000,"Top 5%",134883
"1021",2011,"Black Alone","Current Dollars",15583000,"Lowest",11957
"1022",2011,"Black Alone","Current Dollars",15583000,"Second",24483
"1023",2011,"Black Alone","Current Dollars",15583000,"Third",41772
"1024",2011,"Black Alone","Current Dollars",15583000,"Fourth",71382
"1025",2011,"Black Alone","Current Dollars",15583000,"Top 5%",133501
"1026",2010,"Black Alone","Current Dollars",15265000,"Lowest",11700
"1027",2010,"Black Alone","Current Dollars",15265000,"Second",24497
"1028",2010,"Black Alone","Current Dollars",15265000,"Third",40714
"1029",2010,"Black Alone","Current Dollars",15265000,"Fourth",70000
"1030",2010,"Black Alone","Current Dollars",15265000,"Top 5%",126055
"1031",2009,"Black Alone","Current Dollars",14730000,"Lowest",12785
"1032",2009,"Black Alone","Current Dollars",14730000,"Second",25116
"1033",2009,"Black Alone","Current Dollars",14730000,"Third",41943
"1034",2009,"Black Alone","Current Dollars",14730000,"Fourth",70006
"1035",2009,"Black Alone","Current Dollars",14730000,"Top 5%",125000
"1036",2008,"Black Alone","Current Dollars",14595000,"Lowest",13000
"1037",2008,"Black Alone","Current Dollars",14595000,"Second",26057
"1038",2008,"Black Alone","Current Dollars",14595000,"Third",42425
"1039",2008,"Black Alone","Current Dollars",14595000,"Fourth",70302
"1040",2008,"Black Alone","Current Dollars",14595000,"Top 5%",127366
"1041",2007,"Black Alone","Current Dollars",14551000,"Lowest",12522
"1042",2007,"Black Alone","Current Dollars",14551000,"Second",25860
"1043",2007,"Black Alone","Current Dollars",14551000,"Third",43000
"1044",2007,"Black Alone","Current Dollars",14551000,"Fourth",70600
"1045",2007,"Black Alone","Current Dollars",14551000,"Top 5%",125288
"1046",2006,"Black Alone","Current Dollars",14354000,"Lowest",12000
"1047",2006,"Black Alone","Current Dollars",14354000,"Second",25000
"1048",2006,"Black Alone","Current Dollars",14354000,"Third",40150
"1049",2006,"Black Alone","Current Dollars",14354000,"Fourth",67200
"1050",2006,"Black Alone","Current Dollars",14354000,"Top 5%",122489
"1051",2005,"Black Alone","Current Dollars",14002000,"Lowest",11604
"1052",2005,"Black Alone","Current Dollars",14002000,"Second",23042
"1053",2005,"Black Alone","Current Dollars",14002000,"Third",39610
"1054",2005,"Black Alone","Current Dollars",14002000,"Fourth",64010
"1055",2005,"Black Alone","Current Dollars",14002000,"Top 5%",117200
"1056",2004,"Black Alone","Current Dollars",13809000,"Lowest",11000
"1057",2004,"Black Alone","Current Dollars",13809000,"Second",22999
"1058",2004,"Black Alone","Current Dollars",13809000,"Third",37087
"1059",2004,"Black Alone","Current Dollars",13809000,"Fourth",62579
"1060",2004,"Black Alone","Current Dollars",13809000,"Top 5%",111724
"1061",2003,"Black Alone","Current Dollars",13629000,"Lowest",10936
"1062",2003,"Black Alone","Current Dollars",13629000,"Second",22580
"1063",2003,"Black Alone","Current Dollars",13629000,"Third",37880
"1064",2003,"Black Alone","Current Dollars",13629000,"Fourth",61500
"1065",2003,"Black Alone","Current Dollars",13629000,"Top 5%",108247
"1066",2002,"Black Alone","Current Dollars",13465000,"Lowest",11000
"1067",2002,"Black Alone","Current Dollars",13465000,"Second",22052
"1068",2002,"Black Alone","Current Dollars",13465000,"Third",36000
"1069",2002,"Black Alone","Current Dollars",13465000,"Fourth",60162
"1070",2002,"Black Alone","Current Dollars",13465000,"Top 5%",108656
"1071",2001,"Black Alone","Current Dollars",13315000,"Lowest",11100
"1072",2001,"Black Alone","Current Dollars",13315000,"Second",22800
"1073",2001,"Black Alone","Current Dollars",13315000,"Third",37000
"1074",2001,"Black Alone","Current Dollars",13315000,"Fourth",60115
"1075",2001,"Black Alone","Current Dollars",13315000,"Top 5%",102642
"1076",2000,"Black Alone","Current Dollars",13174000,"Lowest",11726
"1077",2000,"Black Alone","Current Dollars",13174000,"Second",22991
"1078",2000,"Black Alone","Current Dollars",13174000,"Third",37294
"1079",2000,"Black Alone","Current Dollars",13174000,"Fourth",59000
"1080",2000,"Black Alone","Current Dollars",13174000,"Top 5%",105373
"1081",1999,"Black Alone","Current Dollars",12838000,"Lowest",10668
"1082",1999,"Black Alone","Current Dollars",12838000,"Second",21747
"1083",1999,"Black Alone","Current Dollars",12838000,"Third",36000
"1084",1999,"Black Alone","Current Dollars",12838000,"Fourth",59020
"1085",1999,"Black Alone","Current Dollars",12838000,"Top 5%",107000
"1086",1998,"Black Alone","Current Dollars",12579000,"Lowest",9160
"1087",1998,"Black Alone","Current Dollars",12579000,"Second",19125
"1088",1998,"Black Alone","Current Dollars",12579000,"Third",32016
"1089",1998,"Black Alone","Current Dollars",12579000,"Fourth",53208
"1090",1998,"Black Alone","Current Dollars",12579000,"Top 5%",94390
"1091",1997,"Black Alone","Current Dollars",12474000,"Lowest",9260
"1092",1997,"Black Alone","Current Dollars",12474000,"Second",19000
"1093",1997,"Black Alone","Current Dollars",12474000,"Third",31300
"1094",1997,"Black Alone","Current Dollars",12474000,"Fourth",51117
"1095",1997,"Black Alone","Current Dollars",12474000,"Top 5%",87200
"1096",1996,"Black Alone","Current Dollars",12109000,"Lowest",8790
"1097",1996,"Black Alone","Current Dollars",12109000,"Second",17720
"1098",1996,"Black Alone","Current Dollars",12109000,"Third",30000
"1099",1996,"Black Alone","Current Dollars",12109000,"Fourth",49502
"1100",1996,"Black Alone","Current Dollars",12109000,"Top 5%",85000
"1101",1995,"Black Alone","Current Dollars",11577000,"Lowest",8400
"1102",1995,"Black Alone","Current Dollars",11577000,"Second",16900
"1103",1995,"Black Alone","Current Dollars",11577000,"Third",28689
"1104",1995,"Black Alone","Current Dollars",11577000,"Fourth",46296
"1105",1995,"Black Alone","Current Dollars",11577000,"Top 5%",79831
"1106",1994,"Black Alone","Current Dollars",11655000,"Lowest",7553
"1107",1994,"Black Alone","Current Dollars",11655000,"Second",15796
"1108",1994,"Black Alone","Current Dollars",11655000,"Third",26821
"1109",1994,"Black Alone","Current Dollars",11655000,"Fourth",45744
"1110",1994,"Black Alone","Current Dollars",11655000,"Top 5%",80766
